workerid,q,rt,response,browser,mTurkID,age,gender,ethnicity,irq_tn1,irq_tn2,irq_en1,irq_en2,irq_tp1,irq_tp2,irq_ep1,irq_ep2,irq_tn3,irq_tn4,irq_en3,irq_en4,irq_tp3,irq_tp4,irq_ep3,irq_ep4,irq_tn_total,irq_tp_total,irq_en_total,irq_ep_total,irq_total,erq_r1,erq_r3,erq_r5,erq_r7,erq_r8,erq_r10,erq_s2,erq_s4,erq_s6,erq_s9,erq_r_total,erq_s_total,bfi_e1,bfi_e6,bfi_e11,bfi_e16,bfi_e21,bfi_e26,bfi_e31,bfi_e36,bfi_e_total,task3_about,task3_suspect,task3_check,task3_belief,comments
NA,choice,8267,no_person,Chrome,NA,25,M,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,28,28,28,28,112,7,7,7,7,7,7,1,1,1,1,42,4,5,1,5,5,1,5,1,5,28,NA,NA,0,NA,NA
NA,choice,3930,no_person,Chrome,NA,26,F,8,2,2,5,3,5,5,6,6,2,2,3,3,6,7,2,6,8,23,14,20,65,6,2,6,5,6,7,4,1,3,7,32,15,2,1,4,2,1,2,1,2,15,NA,NA,1,NA,NA
NA,choice,5222,no_person,Chrome,NA,33,M,5,3,4,5,3,4,5,6,6,3,5,5,4,4,4,5,5,15,17,17,22,71,2,6,6,5,5,6,3,4,3,4,30,14,4,3,4,3,3,4,3,4,28,NA,NA,0,NA,NA
NA,choice,11913,person,Chrome,NA,42,F,7,7,7,7,6,6,6,7,7,7,7,7,5,6,7,7,7,28,25,25,28,106,5,6,6,7,6,7,2,3,3,4,37,12,3,4,4,4,4,1,4,4,28,NA,NA,0,NA,NA
NA,choice,2875,person,Chrome,NA,44,M,5,4,3,6,5,5,5,4,5,3,3,5,5,4,5,5,6,13,19,21,20,73,5,4,5,5,5,4,6,2,5,3,28,16,4,4,3,3,3,4,4,4,29,NA,NA,1,NA,NA
NA,choice,24086,person,Chrome,NA,32,M,5,2,3,3,5,5,3,6,5,5,3,2,7,4,5,6,3,13,17,17,20,67,3,3,3,6,3,3,5,5,4,5,21,19,2,2,3,5,2,4,4,4,26,NA,NA,1,NA,NA
NA,choice,4902,no_person,Chrome,NA,37,M,5,3,2,5,1,4,3,5,5,2,2,2,2,3,5,3,4,9,15,10,17,51,5,5,6,5,4,6,6,2,7,6,31,21,3,4,3,3,2,3,4,4,26,NA,NA,1,NA,NA
NA,choice,4881,person,Chrome,NA,44,F,2,5,4,6,6,5,4,6,5,4,5,7,6,4,7,6,4,18,20,25,21,84,4,5,5,5,5,5,3,2,4,3,29,12,2,2,2,3,2,3,2,2,18,NA,NA,1,NA,NA
NA,choice,5659,person,Mozilla,NA,42,F,5,5,5,7,6,6,6,6,6,6,6,7,5,6,6,6,6,22,24,25,24,95,6,6,5,5,6,6,2,2,2,2,34,8,2,2,4,4,2,2,2,2,20,NA,NA,1,NA,NA
NA,choice,3480,no_person,Firefox,NA,25,M,5,3,3,3,5,5,6,4,5,5,3,6,5,4,6,5,6,14,21,19,20,74,2,5,5,3,5,5,5,2,5,6,25,18,2,2,2,2,2,2,2,2,16,NA,NA,1,NA,NA
NA,choice,4301,no_person,Mozilla,NA,34,F,10,5,4,6,6,6,6,5,5,4,4,6,5,6,6,4,5,17,24,23,19,83,5,5,5,5,5,5,5,2,2,2,30,11,2,2,3,2,2,4,2,1,18,NA,NA,1,NA,NA
NA,choice,4594,person,Chrome,NA,23,F,5,4,3,6,6,7,7,3,3,4,3,5,3,6,6,5,5,14,26,20,16,76,5,5,5,5,5,5,5,2,5,5,30,17,2,2,2,4,2,3,2,4,21,NA,NA,0,NA,NA
NA,choice,9226,person,Mozilla,NA,47,M,5,2,3,6,6,2,2,3,6,2,2,6,2,3,6,6,6,9,13,20,21,63,6,6,2,6,6,6,6,5,6,6,32,23,4,4,3,3,2,2,2,4,24,NA,NA,1,NA,NA
NA,choice,4857,person,Chrome,NA,40,M,5,5,4,6,5,6,6,6,6,6,5,6,6,5,6,6,6,20,23,23,24,90,6,6,5,6,6,6,4,2,4,6,35,16,2,2,3,3,2,2,2,2,18,NA,NA,1,NA,NA
NA,choice,5052,no_person,Chrome,NA,26,M,5,6,5,7,5,7,7,6,4,7,7,7,7,5,7,7,7,25,26,26,24,101,7,7,7,7,5,7,7,7,7,1,40,22,3,2,5,5,1,2,1,3,22,NA,NA,1,NA,NA
NA,choice,3972,no_person,Firefox,NA,26,M,10,6,4,6,5,5,5,7,6,5,4,6,5,5,6,6,7,19,21,22,26,88,4,4,5,5,5,5,5,4,4,4,28,17,3,2,2,2,2,3,4,4,22,NA,NA,0,NA,NA
NA,choice,4099,person,Chrome,NA,29,M,4,2,1,7,7,7,7,7,6,5,4,6,4,6,6,6,4,12,26,24,23,85,6,2,4,7,6,6,6,6,6,6,31,24,4,1,4,4,2,4,5,5,29,NA,NA,0,NA,NA
NA,choice,4603,no_person,Chrome,NA,35,M,5,4,3,5,4,6,6,6,6,3,4,4,4,6,6,5,6,14,24,17,23,78,5,5,5,5,5,5,4,1,3,5,30,13,3,2,2,3,3,2,2,3,20,NA,NA,1,NA,NA
NA,choice,6710,person,Chrome,NA,42,M,5,3,2,5,2,2,5,3,2,3,3,3,3,3,5,3,5,11,15,13,13,52,6,6,6,6,5,6,6,2,6,6,35,20,1,1,4,2,1,2,2,2,15,NA,NA,1,NA,NA
NA,choice,4898,no_person,Chrome,NA,27,F,5,4,3,6,7,6,6,4,6,6,5,7,6,6,6,6,6,18,24,26,22,90,7,6,6,7,7,7,2,1,1,1,40,5,4,3,3,4,3,4,3,4,28,NA,NA,0,NA,NA
NA,choice,25764,person,Chrome,NA,25,M,5,2,2,4,5,5,2,3,3,3,6,4,5,5,4,2,6,13,16,18,14,61,2,3,3,3,6,2,5,7,6,3,19,21,5,2,4,5,2,5,3,4,30,NA,NA,1,NA,NA
NA,choice,7002,no_person,Chrome,NA,31,F,5,5,5,7,7,4,7,7,5,3,6,6,6,4,5,5,5,19,20,26,22,87,2,5,2,5,5,5,6,5,7,7,24,25,1,1,1,1,1,1,1,1,8,NA,NA,1,NA,NA
NA,choice,3055,person,Chrome,NA,29,M,5,5,5,6,6,6,6,5,6,5,2,6,4,6,7,7,7,17,25,22,25,89,6,7,6,6,5,5,6,2,5,6,35,19,2,2,2,3,2,2,1,2,16,NA,NA,1,NA,NA
NA,choice,4177,person,Chrome,NA,51,F,5,5,5,4,5,5,5,3,4,3,3,5,3,5,5,5,5,16,20,17,17,70,5,5,6,5,5,6,4,3,3,3,32,13,3,2,2,2,4,4,4,4,25,NA,NA,0,NA,NA
NA,choice,3782,person,Firefox,NA,53,M,5,3,4,6,6,5,5,5,5,3,3,6,5,4,6,6,6,13,20,23,22,78,5,6,5,6,5,5,5,2,5,3,32,15,1,1,2,2,1,2,2,1,12,NA,NA,1,NA,NA
NA,choice,9410,person,Firefox,NA,60,F,5,5,4,6,4,6,6,4,5,5,5,5,4,5,6,4,6,19,23,19,19,80,7,7,7,7,5,6,3,2,2,3,39,10,2,2,4,4,4,4,4,4,28,NA,NA,0,NA,NA
NA,choice,6114,person,Chrome,NA,22,M,6,5,5,6,6,4,4,6,5,4,5,5,5,5,4,6,7,19,17,22,24,82,2,6,4,2,5,4,5,3,4,5,23,17,4,3,4,3,3,2,4,4,27,NA,NA,1,NA,NA
NA,choice,4778,no_person,Firefox,NA,34,F,5,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,27,28,28,27,110,7,7,7,7,7,7,1,1,1,1,42,4,4,5,5,5,5,5,5,5,39,NA,NA,0,NA,NA
NA,choice,7681,person,Chrome,NA,32,M,5,2,3,3,5,5,2,3,6,6,5,2,6,4,3,6,7,16,14,16,22,68,3,5,5,2,4,4,7,3,5,2,23,17,5,2,5,4,4,4,3,5,32,NA,NA,1,NA,NA
NA,choice,3783,person,Safari,NA,35,F,4,5,5,7,6,3,5,4,7,5,5,7,5,4,5,5,7,20,17,25,23,85,6,7,6,6,5,6,4,1,3,5,36,13,3,2,4,5,2,4,3,4,27,NA,NA,0,NA,NA
NA,choice,4790,no_person,Chrome,NA,36,M,5,4,3,6,6,6,2,6,5,3,6,5,2,4,6,5,7,16,18,19,23,76,6,6,5,6,6,6,6,6,6,5,35,23,2,2,4,3,2,4,2,3,22,NA,NA,0,NA,NA
NA,choice,4813,no_person,Chrome,NA,23,M,5,2,1,5,2,2,2,3,4,2,2,3,2,2,2,3,4,7,8,12,14,41,5,6,6,5,5,6,6,3,5,6,33,20,1,1,2,2,1,1,1,1,10,NA,NA,1,NA,NA
NA,choice,5070,no_person,Firefox,NA,38,M,2,4,4,5,4,4,5,3,4,4,4,5,4,5,5,4,4,16,19,18,15,68,5,5,5,5,5,5,5,4,3,4,30,16,2,2,3,3,2,3,2,3,20,NA,NA,1,NA,NA
NA,choice,4906,person,Firefox,NA,30,M,5,3,3,6,5,2,1,2,4,4,1,5,4,2,2,3,4,11,7,20,13,51,2,5,4,3,3,5,7,5,6,5,22,23,1,1,1,1,1,1,1,1,8,NA,NA,1,NA,NA
NA,choice,3048,person,Chrome,NA,31,F,5,6,6,6,6,4,6,4,4,5,6,6,6,6,6,6,6,23,22,24,20,89,4,4,4,4,4,4,3,4,4,4,24,15,2,2,2,2,2,3,3,3,19,NA,NA,0,NA,NA
NA,choice,4082,no_person,Chrome,NA,32,M,5,6,4,6,5,3,5,4,5,1,6,2,6,5,6,6,4,17,19,19,19,74,5,4,5,3,5,5,3,6,3,5,27,17,2,1,4,2,3,4,4,2,22,NA,NA,0,NA,NA
NA,choice,5677,person,Chrome,NA,50,M,5,4,4,7,6,5,5,6,6,5,4,7,6,5,6,6,7,17,21,26,25,89,5,5,5,5,6,5,6,2,6,5,31,19,5,4,4,3,5,5,5,4,35,NA,NA,1,NA,NA
NA,choice,3463,person,Chrome,NA,19,F,5,6,4,6,6,5,5,5,5,5,5,6,6,5,5,6,6,20,20,24,22,86,4,4,6,4,5,4,3,2,3,3,27,11,2,2,2,3,2,2,2,2,17,NA,NA,1,NA,NA
NA,choice,6611,no_person,Firefox,NA,67,F,5,5,5,7,6,6,7,6,5,5,5,6,5,5,6,6,5,20,24,24,22,90,6,6,6,6,6,6,3,2,2,3,36,10,3,2,3,2,2,1,2,3,18,NA,NA,1,NA,NA
NA,choice,5553,person,Chrome,NA,29,M,5,5,7,7,7,7,7,4,7,7,5,7,7,3,6,7,7,24,23,28,25,100,7,7,7,7,7,7,3,1,1,1,42,6,2,2,3,3,1,2,2,2,17,NA,NA,1,NA,NA
NA,choice,3711,no_person,Chrome,NA,26,M,5,4,3,6,4,4,5,4,4,4,3,4,4,4,6,4,4,14,19,18,16,67,4,4,4,4,4,4,6,3,5,4,24,18,2,3,3,3,3,4,2,4,24,NA,NA,1,NA,NA
NA,choice,7188,person,Chrome,NA,30,F,5,3,2,6,5,3,3,6,6,3,3,6,6,3,5,5,6,11,14,23,23,71,6,6,6,6,6,6,6,3,6,6,36,21,2,2,3,2,2,3,2,2,18,NA,NA,0,NA,NA
NA,choice,4124,person,Chrome,NA,28,M,5,4,4,7,7,4,1,4,7,2,4,7,7,4,4,7,7,14,13,28,25,80,7,7,7,7,7,7,7,4,4,4,42,19,1,1,3,3,1,1,1,1,12,NA,NA,1,NA,NA
NA,choice,6701,no_person,Firefox,NA,28,M,5,2,3,5,5,3,3,5,5,3,3,4,3,4,3,3,5,11,13,17,18,59,4,4,5,4,4,5,5,3,5,5,26,18,4,4,4,3,3,3,4,4,29,NA,NA,1,NA,NA
NA,choice,3800,no_person,Chrome,NA,24,M,2,3,4,5,6,6,6,4,3,3,2,5,5,6,7,4,5,12,25,21,16,74,5,6,5,6,6,5,6,2,6,4,33,18,2,2,3,3,2,4,2,2,20,NA,NA,0,NA,NA
NA,choice,6250,person,Chrome,NA,24,M,7,5,4,7,6,6,6,7,5,5,3,7,5,5,6,5,7,17,23,25,24,89,5,4,6,7,6,5,5,2,5,6,33,18,4,2,3,2,1,3,1,2,18,NA,NA,0,NA,NA
NA,choice,1058,no_person,Chrome,NA,21,F,4,4,6,5,2,3,4,6,5,6,3,3,2,4,5,6,6,19,16,12,23,70,6,3,5,6,5,5,7,6,2,3,30,18,4,1,4,2,2,4,4,4,25,NA,NA,0,NA,NA
NA,choice,4291,person,Firefox,NA,21,M,5,3,2,6,4,4,2,3,5,3,2,4,3,2,2,3,5,10,10,17,16,53,4,7,6,6,6,6,6,4,6,7,35,23,4,2,4,4,3,2,3,4,26,NA,NA,0,NA,NA
NA,choice,4426,person,Chrome,NA,30,M,5,3,2,5,5,5,4,6,6,3,5,5,4,5,6,3,6,13,20,19,21,73,5,5,5,3,4,4,6,3,5,3,26,17,2,2,4,3,2,4,2,2,21,NA,NA,1,NA,NA
NA,choice,3501,person,Chrome,NA,26,M,5,2,2,2,5,5,5,6,5,2,3,3,2,4,6,4,6,9,20,12,21,62,1,6,6,6,4,6,5,2,4,7,29,18,2,2,4,2,4,4,3,4,25,NA,NA,1,NA,NA
NA,choice,3503,person,Firefox,NA,23,M,5,2,1,6,4,1,1,4,2,1,1,5,4,1,1,2,4,5,4,19,12,40,5,5,6,5,5,5,7,6,7,7,31,27,1,1,1,1,1,2,1,1,9,NA,NA,1,NA,NA
NA,choice,3254,person,Chrome,NA,21,F,10,6,2,7,6,5,4,5,5,6,4,6,7,4,5,5,6,18,18,26,21,83,4,4,5,5,5,4,5,4,6,6,27,21,2,2,2,2,2,2,2,2,16,NA,NA,1,NA,NA
NA,choice,4068,no_person,Chrome,NA,23,M,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,64,4,4,4,4,4,4,4,4,4,4,24,16,3,3,3,3,3,3,3,3,24,NA,NA,0,NA,NA
NA,choice,5932,no_person,Safari,NA,54,F,5,2,5,6,6,5,5,2,5,2,5,4,2,4,5,5,5,14,19,18,17,68,6,6,6,6,5,6,3,2,3,2,35,10,4,4,2,3,5,5,4,4,31,NA,NA,0,NA,NA
NA,choice,3943,person,Chrome,NA,38,M,5,5,4,6,6,5,5,5,6,3,7,5,4,5,5,6,7,19,20,21,24,84,6,6,6,6,7,6,5,2,5,5,37,17,2,1,3,3,2,4,2,2,19,NA,NA,1,NA,NA
NA,choice,4987,no_person,Firefox,NA,47,M,4,2,2,7,4,2,2,5,5,3,2,5,5,2,2,3,7,9,8,21,20,58,5,5,5,5,5,5,5,2,2,3,30,12,1,2,2,2,1,3,2,2,15,NA,NA,1,NA,NA
NA,choice,6496,person,Safari,NA,42,F,5,6,5,6,6,7,6,4,6,5,5,6,6,6,6,5,6,21,25,24,21,91,5,5,5,5,5,5,2,2,2,2,30,8,3,2,3,4,2,2,2,2,20,NA,NA,1,NA,NA
NA,choice,3852,person,Mozilla,NA,26,M,5,2,3,6,5,3,2,6,5,3,2,5,5,3,5,5,6,10,13,21,22,66,6,5,3,3,5,5,6,2,5,5,27,18,2,3,4,4,2,3,2,4,24,NA,NA,1,NA,NA
NA,choice,5389,person,Chrome,NA,23,M,5,2,2,5,5,6,6,4,1,2,1,5,5,6,6,5,5,7,24,20,15,66,6,5,2,5,3,5,7,5,6,6,26,24,1,1,1,1,1,2,1,1,9,NA,NA,1,NA,NA
NA,choice,4717,person,Firefox,NA,60,M,5,5,3,6,4,4,5,5,6,3,3,6,3,3,5,6,6,14,17,19,23,73,5,6,6,5,5,5,6,4,5,5,32,20,2,2,3,3,2,2,2,2,18,NA,NA,0,NA,NA
NA,choice,4880,person,Chrome,NA,52,F,5,6,3,7,6,5,5,6,6,5,5,6,5,4,6,6,6,19,20,24,24,87,5,5,5,5,5,5,3,1,3,2,30,9,3,2,3,3,2,3,2,3,21,NA,NA,0,NA,NA
NA,choice,5597,person,Chrome,NA,54,M,5,2,2,6,5,3,4,4,5,2,2,6,4,4,5,5,5,8,16,21,19,64,5,5,6,6,6,6,6,4,3,6,34,19,1,1,3,2,1,2,1,1,12,NA,NA,1,NA,NA
NA,choice,3011,person,Firefox,NA,24,M,5,5,6,7,7,4,6,5,7,5,1,7,5,5,6,7,7,17,21,26,26,90,7,7,6,7,5,6,6,4,3,2,38,15,4,3,5,4,5,5,2,4,32,NA,NA,1,NA,NA
NA,choice,8486,no_person,Chrome,NA,27,F,5,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,6,4,18,5,5,7,2,5,5,7,6,6,7,29,26,1,1,1,1,1,1,1,1,8,NA,NA,1,NA,NA
NA,choice,4475,no_person,Chrome,NA,42,F,5,2,1,4,4,3,2,1,1,4,1,5,2,2,4,1,1,8,11,15,4,38,5,5,6,5,5,5,6,2,6,5,31,19,1,1,2,2,1,1,1,1,10,NA,NA,1,NA,NA
NA,choice,4443,person,Chrome,NA,54,F,5,5,5,6,6,5,6,4,5,4,5,5,5,4,6,5,6,19,21,22,20,82,4,4,5,5,5,5,3,3,2,5,28,13,4,4,3,4,4,4,4,4,31,NA,NA,1,NA,NA
NA,choice,6551,no_person,Chrome,NA,50,F,5,3,5,5,5,6,6,4,5,3,5,4,5,6,7,4,5,16,25,19,18,78,5,5,6,6,6,6,3,1,3,4,34,11,4,4,4,4,4,4,4,4,32,NA,NA,0,NA,NA
NA,choice,4148,person,Firefox,NA,32,M,5,3,5,6,6,5,5,7,6,4,3,6,5,4,6,6,6,15,20,23,25,83,5,6,6,6,6,6,5,2,5,5,35,17,2,2,4,3,1,2,2,2,18,NA,NA,1,NA,NA
NA,choice,4853,person,Chrome,NA,52,M,5,2,2,6,7,2,2,4,6,2,2,6,5,3,5,7,6,8,12,24,23,67,5,5,5,5,5,5,7,4,6,5,30,22,2,2,2,1,2,1,2,3,15,NA,NA,0,NA,NA
NA,choice,6289,person,Mozilla,NA,55,M,5,2,2,5,5,2,2,4,5,2,2,5,5,2,2,4,5,8,8,20,18,54,5,5,5,5,5,5,6,3,4,3,30,16,2,2,3,2,2,4,2,2,19,NA,NA,0,NA,NA
NA,choice,6302,person,Explorer,NA,39,M,5,2,2,6,5,6,6,5,4,3,1,6,6,2,6,5,5,8,20,23,19,70,6,6,5,6,6,6,6,3,6,6,35,21,2,2,3,2,2,2,2,2,17,NA,NA,1,NA,NA
NA,choice,4951,person,Firefox,NA,35,M,6,3,3,5,6,4,4,6,5,3,3,5,2,4,5,4,7,12,17,18,22,69,5,5,6,4,4,5,6,3,3,3,29,15,1,1,3,3,1,3,2,2,16,NA,NA,1,NA,NA
NA,choice,3825,no_person,Chrome,NA,25,M,5,4,5,5,3,5,4,4,4,4,5,4,5,3,6,3,5,18,18,17,16,69,4,4,6,6,4,3,5,4,4,5,27,18,4,2,2,4,3,4,4,3,26,NA,NA,0,NA,NA
NA,choice,5528,no_person,Chrome,NA,26,F,5,2,3,5,5,5,6,2,6,5,6,5,6,5,6,5,6,16,22,21,19,78,6,6,5,6,6,6,6,5,5,6,35,22,4,4,4,4,4,4,4,4,32,NA,NA,0,NA,NA
NA,choice,6181,no_person,Chrome,NA,59,M,5,2,2,5,2,3,2,3,4,3,1,2,2,3,5,2,5,8,13,11,14,46,5,6,6,5,5,6,6,3,6,6,33,21,4,2,4,4,4,4,4,3,29,NA,NA,0,NA,NA
NA,choice,3440,person,Mozilla,NA,38,M,5,3,5,6,7,6,5,4,5,6,5,6,6,5,6,4,5,19,22,25,18,84,6,2,2,3,5,3,4,5,2,3,21,14,4,3,2,2,2,4,4,4,25,NA,NA,1,NA,NA
NA,choice,4072,no_person,Chrome,NA,51,M,5,5,3,5,2,6,6,4,5,4,4,5,5,5,6,5,5,16,23,17,19,75,4,6,6,5,5,5,3,3,5,3,31,14,4,4,4,3,4,4,4,4,31,NA,NA,0,NA,NA
NA,choice,4322,person,Chrome,NA,28,F,5,5,3,6,7,5,6,5,5,3,2,6,5,6,7,5,4,13,24,24,19,80,3,4,5,5,5,5,5,2,5,6,27,18,1,2,2,2,2,2,2,1,14,NA,NA,1,NA,NA
NA,choice,4137,no_person,Safari,NA,57,M,5,1,4,3,2,2,1,1,6,2,1,1,4,4,3,3,6,8,10,10,16,44,6,6,6,6,6,6,7,5,4,4,36,20,3,2,1,3,1,2,2,4,18,NA,NA,0,NA,NA
NA,choice,6252,person,Mozilla,NA,61,F,5,3,6,5,6,5,5,3,6,3,5,5,5,4,6,6,5,17,20,21,20,78,3,3,3,3,3,3,3,2,2,3,18,10,3,3,3,3,2,2,2,3,21,NA,NA,1,NA,NA
NA,choice,3294,no_person,Firefox,NA,28,M,5,6,6,7,5,5,6,6,5,7,6,5,6,6,6,6,6,25,23,23,23,94,7,6,5,5,6,6,4,2,3,4,35,13,3,2,3,4,2,2,2,3,21,NA,NA,1,NA,NA
NA,choice,3412,no_person,Safari,NA,30,F,5,5,3,5,5,5,5,3,3,5,4,5,4,5,5,3,4,17,20,19,13,69,3,3,3,3,3,3,3,3,4,3,18,13,4,3,2,2,3,4,3,2,23,NA,NA,1,NA,NA
NA,choice,4747,person,Mozilla,NA,43,F,5,2,1,5,6,6,6,6,5,2,7,5,3,2,6,5,6,12,20,19,22,73,6,6,5,6,2,6,1,1,1,3,31,6,1,1,3,2,1,1,1,1,11,NA,NA,1,NA,NA
NA,choice,25288,no_person,Chrome,NA,21,F,5,2,3,6,6,5,2,3,3,3,2,5,3,3,3,2,5,10,13,20,13,56,3,2,2,2,2,2,6,2,5,5,13,18,2,2,3,2,2,2,2,2,17,NA,NA,1,NA,NA
NA,choice,6982,person,Chrome,NA,39,F,5,7,3,7,7,7,7,3,5,5,5,6,3,7,7,5,5,20,28,23,18,89,5,3,5,3,3,3,3,1,1,1,22,6,2,3,1,2,2,1,1,2,14,NA,NA,1,NA,NA
NA,choice,5749,person,Chrome,NA,41,F,5,7,5,7,7,7,7,5,6,6,5,7,7,7,7,7,7,23,28,28,25,104,7,7,6,6,6,7,1,1,1,1,39,4,5,4,3,3,4,4,4,4,31,NA,NA,1,NA,NA
NA,choice,3958,person,Chrome,NA,26,M,4,3,6,3,5,5,5,4,5,4,4,5,6,4,5,6,4,17,19,19,19,74,4,3,2,5,4,4,4,5,2,4,22,15,2,1,3,5,3,3,3,4,24,NA,NA,1,NA,NA
NA,choice,4058,no_person,Chrome,NA,21,NA,5,6,4,6,4,6,5,4,5,4,4,5,4,4,4,4,4,18,19,19,17,73,4,4,4,4,4,4,4,4,4,4,24,16,3,3,3,3,3,3,3,3,24,NA,NA,0,NA,NA
NA,choice,11669,no_person,Firefox,NA,59,M,5,3,2,4,4,5,4,3,2,3,3,4,5,1,5,4,3,11,15,17,12,55,5,5,5,5,5,5,6,3,5,2,30,16,2,2,2,2,2,3,2,2,17,NA,NA,1,NA,NA
NA,choice,4434,person,Firefox,NA,29,F,5,5,2,5,5,4,5,4,5,4,3,5,5,4,6,5,6,14,19,20,20,73,6,6,6,6,6,6,5,3,6,5,36,19,2,1,3,2,2,2,2,2,16,NA,NA,1,NA,NA
NA,choice,3251,no_person,Chrome,NA,28,M,6,6,6,7,7,6,6,6,6,6,6,7,6,6,7,6,7,24,25,27,25,101,6,6,6,6,6,6,2,1,2,2,36,7,4,5,4,4,5,5,5,4,36,NA,NA,1,NA,NA
NA,choice,3345,person,Chrome,NA,26,F,5,6,6,6,6,6,6,5,5,6,6,6,6,5,6,5,6,24,23,24,21,92,4,4,3,4,3,3,3,2,2,3,21,10,1,2,2,2,1,1,1,1,11,NA,NA,0,NA,NA
NA,choice,11345,person,Chrome,NA,30,M,5,3,2,3,2,6,6,2,3,3,3,2,1,7,7,2,3,11,26,8,10,55,6,6,6,6,5,4,5,2,5,3,33,15,2,2,3,3,2,4,2,2,20,NA,NA,0,NA,NA
NA,choice,14492,no_person,Chrome,NA,28,M,5,3,4,6,5,4,4,5,5,4,4,6,4,4,5,5,6,15,17,21,21,74,4,5,4,4,5,5,5,4,5,5,27,19,2,2,3,3,2,3,3,3,21,NA,NA,0,NA,NA
NA,choice,5391,person,Mozilla,NA,44,F,5,5,5,6,5,3,5,3,3,5,3,6,5,2,5,3,5,18,15,22,14,69,6,6,6,5,5,5,5,2,5,3,33,15,2,2,2,2,2,4,2,2,18,NA,NA,1,NA,NA
