workerid,n,pic,rt,response,browser
NA,1,1052,2970,4,Explorer
NA,17,9320,1580,7,Explorer
NA,11,6838,2152,7,Explorer
NA,19,9584,1443,4,Explorer
NA,16,9300,1105,7,Explorer
NA,14,9181,1799,6,Explorer
NA,20,9592,1333,3,Explorer
NA,10,6550,1133,7,Explorer
NA,13,9042,1640,4,Explorer
NA,7,3530,1520,6,Explorer
NA,6,3220,2000,5,Explorer
NA,8,3550.1,1314,7,Explorer
NA,3,1274,2413,5,Explorer
NA,5,3160,1352,2,Explorer
NA,12,8230,1930,4,Explorer
NA,15,9250,13114,5,Explorer
NA,2,1220,3322,2,Explorer
NA,18,9373,1768,7,Explorer
NA,4,2053,1625,2,Explorer
NA,9,6212,7082,3,Explorer
NA,8,3550.1,3532,1,Chrome
NA,13,9042,1680,2,Chrome
NA,2,1220,1415,1,Chrome
NA,9,6212,2803,1,Chrome
NA,15,9250,1660,3,Chrome
NA,12,8230,2652,2,Chrome
NA,6,3220,3061,1,Chrome
NA,7,3530,1563,2,Chrome
NA,1,1052,1109,1,Chrome
NA,19,9584,1165,1,Chrome
NA,20,9592,900,1,Chrome
NA,17,9320,1987,1,Chrome
NA,5,3160,1540,1,Chrome
NA,16,9300,1474,2,Chrome
NA,3,1274,2285,1,Chrome
NA,4,2053,1822,1,Chrome
NA,18,9373,1315,1,Chrome
NA,11,6838,1653,1,Chrome
NA,10,6550,1502,1,Chrome
NA,14,9181,1603,3,Chrome
NA,16,9300,2501,7,Chrome
NA,6,3220,6654,6,Chrome
NA,1,1052,2134,2,Chrome
NA,19,9584,1685,2,Chrome
NA,12,8230,2000,6,Chrome
NA,8,3550.1,1683,7,Chrome
NA,7,3530,2715,7,Chrome
NA,20,9592,1689,2,Chrome
NA,2,1220,1455,1,Chrome
NA,11,6838,4062,6,Chrome
NA,18,9373,2984,3,Chrome
NA,9,6212,2685,6,Chrome
NA,13,9042,2511,5,Chrome
NA,5,3160,2124,2,Chrome
NA,17,9320,1967,4,Chrome
NA,14,9181,2106,3,Chrome
NA,3,1274,1251,1,Chrome
NA,10,6550,1991,7,Chrome
NA,4,2053,3425,1,Chrome
NA,15,9250,1856,6,Chrome
NA,18,9373,4409,6,Chrome
NA,11,6838,2442,6,Chrome
NA,15,9250,1954,7,Chrome
NA,4,2053,2484,6,Chrome
NA,20,9592,1656,5,Chrome
NA,16,9300,1499,7,Chrome
NA,1,1052,1731,6,Chrome
NA,7,3530,1642,6,Chrome
NA,13,9042,2173,7,Chrome
NA,17,9320,1359,7,Chrome
NA,12,8230,702,6,Chrome
NA,2,1220,1703,5,Chrome
NA,10,6550,2687,5,Chrome
NA,19,9584,1845,6,Chrome
NA,3,1274,1189,6,Chrome
NA,9,6212,1782,5,Chrome
NA,14,9181,2266,6,Chrome
NA,5,3160,947,6,Chrome
NA,6,3220,1471,5,Chrome
NA,8,3550.1,1250,6,Chrome
NA,14,9181,5419,3,Explorer
NA,16,9300,4444,5,Explorer
NA,11,6838,7930,1,Explorer
NA,19,9584,4599,1,Explorer
NA,3,1274,1908,4,Explorer
NA,10,6550,3032,3,Explorer
NA,1,1052,2299,6,Explorer
NA,6,3220,3243,2,Explorer
NA,4,2053,4537,1,Explorer
NA,18,9373,3892,2,Explorer
NA,17,9320,2718,6,Explorer
NA,15,9250,6251,2,Explorer
NA,12,8230,2854,2,Explorer
NA,20,9592,1675,3,Explorer
NA,5,3160,2126,3,Explorer
NA,2,1220,1849,6,Explorer
NA,8,3550.1,2129,2,Explorer
NA,9,6212,1612,1,Explorer
NA,13,9042,3033,6,Explorer
NA,7,3530,2998,1,Explorer
NA,17,9320,2203,4,Chrome
NA,7,3530,9060,7,Chrome
NA,6,3220,435,4,Chrome
NA,5,3160,399,7,Chrome
NA,10,6550,18,7,Chrome
NA,20,9592,463,7,Chrome
NA,13,9042,156,5,Chrome
NA,11,6838,110,7,Chrome
NA,15,9250,56,7,Chrome
NA,16,9300,73,5,Chrome
NA,12,8230,140,6,Chrome
NA,4,2053,106,5,Chrome
NA,9,6212,2,6,Chrome
NA,8,3550.1,33,5,Chrome
NA,14,9181,172,7,Chrome
NA,2,1220,238,7,Chrome
NA,1,1052,8875,4,Chrome
NA,19,9584,25352,6,Chrome
NA,3,1274,3510,7,Chrome
NA,18,9373,80,5,Chrome
NA,2,1220,8703,3,Chrome
NA,14,9181,3662,7,Chrome
NA,17,9320,2352,7,Chrome
NA,19,9584,3953,6,Chrome
NA,12,8230,2234,7,Chrome
NA,9,6212,3562,7,Chrome
NA,11,6838,8827,5,Chrome
NA,16,9300,2378,7,Chrome
NA,4,2053,4139,6,Chrome
NA,20,9592,2788,7,Chrome
NA,13,9042,21004,6,Chrome
NA,8,3550.1,13589,7,Chrome
NA,6,3220,4298,4,Chrome
NA,3,1274,36705,2,Chrome
NA,7,3530,3020,7,Chrome
NA,18,9373,3563,6,Chrome
NA,1,1052,1956,2,Chrome
NA,5,3160,3939,5,Chrome
NA,10,6550,3754,7,Chrome
NA,15,9250,2292,6,Chrome
NA,15,9250,3664,6,Chrome
NA,14,9181,2522,7,Chrome
NA,4,2053,2278,5,Chrome
NA,12,8230,2203,4,Chrome
NA,7,3530,6522,5,Chrome
NA,17,9320,1878,4,Chrome
NA,6,3220,6029,6,Chrome
NA,3,1274,1834,4,Chrome
NA,16,9300,2205,6,Chrome
NA,13,9042,3373,7,Chrome
NA,10,6550,3677,6,Chrome
NA,9,6212,2138,7,Chrome
NA,19,9584,7320,3,Chrome
NA,2,1220,1861,4,Chrome
NA,18,9373,5317,3,Chrome
NA,1,1052,1883,6,Chrome
NA,8,3550.1,2782,7,Chrome
NA,20,9592,1993,3,Chrome
NA,11,6838,4205,6,Chrome
NA,5,3160,4881,4,Chrome
NA,3,1274,5499,6,Chrome
NA,8,3550.1,1719,5,Chrome
NA,11,6838,4630,4,Chrome
NA,9,6212,3275,4,Chrome
NA,12,8230,1297,5,Chrome
NA,17,9320,1322,6,Chrome
NA,1,1052,1364,5,Chrome
NA,15,9250,1353,6,Chrome
NA,2,1220,2236,4,Chrome
NA,4,2053,3438,5,Chrome
NA,20,9592,2926,3,Chrome
NA,7,3530,2949,5,Chrome
NA,13,9042,2160,6,Chrome
NA,19,9584,2877,2,Chrome
NA,16,9300,2609,7,Chrome
NA,18,9373,1602,6,Chrome
NA,10,6550,2159,6,Chrome
NA,6,3220,4605,3,Chrome
NA,14,9181,1859,5,Chrome
NA,5,3160,2763,5,Chrome
NA,7,3530,4228,1,Chrome
NA,4,2053,2684,3,Chrome
NA,14,9181,2141,5,Chrome
NA,6,3220,6120,5,Chrome
NA,12,8230,4860,5,Chrome
NA,11,6838,3903,3,Chrome
NA,18,9373,11074,5,Chrome
NA,9,6212,2468,4,Chrome
NA,2,1220,1827,2,Chrome
NA,1,1052,1729,1,Chrome
NA,20,9592,1674,1,Chrome
NA,19,9584,1880,1,Chrome
NA,10,6550,3404,3,Chrome
NA,8,3550.1,1650,5,Chrome
NA,16,9300,1304,3,Chrome
NA,15,9250,1753,1,Chrome
NA,13,9042,2002,6,Chrome
NA,3,1274,1467,1,Chrome
NA,5,3160,2403,5,Chrome
NA,17,9320,2027,4,Chrome
NA,2,1220,4637,6,Chrome
NA,17,9320,4008,7,Chrome
NA,11,6838,5130,6,Chrome
NA,10,6550,5016,5,Chrome
NA,3,1274,2657,6,Chrome
NA,12,8230,5028,4,Chrome
NA,7,3530,3436,4,Chrome
NA,14,9181,5880,5,Chrome
NA,1,1052,3063,3,Chrome
NA,18,9373,4708,7,Chrome
NA,8,3550.1,4374,4,Chrome
NA,13,9042,2704,6,Chrome
NA,19,9584,3250,5,Chrome
NA,16,9300,2285,7,Chrome
NA,20,9592,2697,5,Chrome
NA,4,2053,5308,2,Chrome
NA,5,3160,6990,4,Chrome
NA,6,3220,5273,4,Chrome
NA,15,9250,3583,6,Chrome
NA,9,6212,3049,3,Chrome
NA,18,9373,10868,6,Chrome
NA,3,1274,8349,5,Chrome
NA,19,9584,1363,4,Chrome
NA,20,9592,1912,2,Chrome
NA,15,9250,1533,6,Chrome
NA,17,9320,934,6,Chrome
NA,8,3550.1,1325,5,Chrome
NA,14,9181,1028,6,Chrome
NA,5,3160,1158,4,Chrome
NA,4,2053,1881,5,Chrome
NA,6,3220,1852,2,Chrome
NA,1,1052,1127,2,Chrome
NA,11,6838,1211,2,Chrome
NA,2,1220,1092,4,Chrome
NA,10,6550,1421,6,Chrome
NA,13,9042,1238,6,Chrome
NA,7,3530,1662,5,Chrome
NA,16,9300,839,6,Chrome
NA,12,8230,1629,4,Chrome
NA,9,6212,3509,2,Chrome
NA,18,9373,5064,7,Chrome
NA,4,2053,4095,5,Chrome
NA,1,1052,7079,5,Chrome
NA,14,9181,3167,7,Chrome
NA,12,8230,3562,7,Chrome
NA,6,3220,3983,6,Chrome
NA,2,1220,1687,5,Chrome
NA,10,6550,1601,5,Chrome
NA,19,9584,1807,4,Chrome
NA,13,9042,3624,6,Chrome
NA,3,1274,1089,6,Chrome
NA,7,3530,2172,6,Chrome
NA,8,3550.1,1906,6,Chrome
NA,16,9300,2452,7,Chrome
NA,15,9250,1984,5,Chrome
NA,9,6212,1353,5,Chrome
NA,11,6838,2215,5,Chrome
NA,5,3160,1489,5,Chrome
NA,20,9592,1749,4,Chrome
NA,17,9320,2970,7,Chrome
NA,3,1274,970,3,Chrome
NA,9,6212,2157,3,Chrome
NA,17,9320,1677,5,Chrome
NA,16,9300,1414,5,Chrome
NA,11,6838,2388,7,Chrome
NA,20,9592,2406,3,Chrome
NA,1,1052,1741,3,Chrome
NA,18,9373,1772,4,Chrome
NA,7,3530,2760,3,Chrome
NA,14,9181,2556,5,Chrome
NA,10,6550,1838,6,Chrome
NA,8,3550.1,2352,5,Chrome
NA,15,9250,1749,5,Chrome
NA,6,3220,1486,4,Chrome
NA,5,3160,2127,3,Chrome
NA,4,2053,2959,3,Chrome
NA,2,1220,2509,4,Chrome
NA,13,9042,1759,5,Chrome
NA,12,8230,2220,3,Chrome
NA,19,9584,1502,4,Chrome
NA,8,3550.1,14351,1,Chrome
NA,15,9250,1750,3,Chrome
NA,3,1274,1277,2,Chrome
NA,17,9320,1917,2,Chrome
NA,10,6550,836,1,Chrome
NA,18,9373,1740,1,Chrome
NA,2,1220,1074,1,Chrome
NA,13,9042,717,2,Chrome
NA,7,3530,450,1,Chrome
NA,11,6838,563,3,Chrome
NA,16,9300,875,2,Chrome
NA,6,3220,683,2,Chrome
NA,19,9584,1184,1,Chrome
NA,12,8230,826,1,Chrome
NA,4,2053,1388,2,Chrome
NA,20,9592,2419,1,Chrome
NA,9,6212,754,1,Chrome
NA,14,9181,1419,1,Chrome
NA,5,3160,2253,1,Chrome
NA,1,1052,833,2,Chrome
NA,3,1274,2311,4,Chrome
NA,14,9181,2998,5,Chrome
NA,1,1052,1579,3,Chrome
NA,20,9592,2388,1,Chrome
NA,18,9373,2070,3,Chrome
NA,2,1220,1535,2,Chrome
NA,7,3530,3757,4,Chrome
NA,16,9300,1920,3,Chrome
NA,9,6212,4725,2,Chrome
NA,11,6838,7445,4,Chrome
NA,4,2053,3277,3,Chrome
NA,8,3550.1,4062,5,Chrome
NA,15,9250,1899,5,Chrome
NA,6,3220,3578,4,Chrome
NA,17,9320,1983,3,Chrome
NA,13,9042,3653,4,Chrome
NA,12,8230,1960,3,Chrome
NA,10,6550,4003,5,Chrome
NA,19,9584,5478,2,Chrome
NA,5,3160,3343,3,Chrome
NA,9,6212,10933,3,Chrome
NA,5,3160,3473,4,Chrome
NA,19,9584,5338,3,Chrome
NA,17,9320,2700,6,Chrome
NA,14,9181,4947,4,Chrome
NA,13,9042,3131,5,Chrome
NA,1,1052,5316,2,Chrome
NA,18,9373,3204,5,Chrome
NA,3,1274,3364,2,Chrome
NA,4,2053,5426,1,Chrome
NA,10,6550,3675,6,Chrome
NA,6,3220,5708,3,Chrome
NA,2,1220,2738,1,Chrome
NA,8,3550.1,3804,4,Chrome
NA,15,9250,4124,3,Chrome
NA,7,3530,5653,3,Chrome
NA,11,6838,5852,2,Chrome
NA,16,9300,3700,5,Chrome
NA,12,8230,4515,3,Chrome
NA,20,9592,3108,2,Chrome
NA,16,9300,5606,7,Mozilla
NA,5,3160,3766,4,Mozilla
NA,8,3550.1,2847,7,Mozilla
NA,9,6212,3026,7,Mozilla
NA,6,3220,3585,7,Mozilla
NA,4,2053,3847,4,Mozilla
NA,1,1052,3931,4,Mozilla
NA,18,9373,3777,4,Mozilla
NA,12,8230,2529,4,Mozilla
NA,14,9181,3083,7,Mozilla
NA,11,6838,5031,4,Mozilla
NA,2,1220,1881,4,Mozilla
NA,15,9250,2769,4,Mozilla
NA,17,9320,2163,7,Mozilla
NA,3,1274,4762,7,Mozilla
NA,13,9042,3119,7,Mozilla
NA,10,6550,2533,7,Mozilla
NA,19,9584,1954,4,Mozilla
NA,7,3530,3144,7,Mozilla
NA,20,9592,1774,4,Mozilla
NA,1,1052,9102,5,Firefox
NA,20,9592,2136,5,Firefox
NA,5,3160,3870,6,Firefox
NA,7,3530,4937,5,Firefox
NA,4,2053,2750,4,Firefox
NA,6,3220,3403,3,Firefox
NA,8,3550.1,2395,6,Firefox
NA,17,9320,3323,4,Firefox
NA,3,1274,1952,5,Firefox
NA,13,9042,9153,4,Firefox
NA,16,9300,2542,4,Firefox
NA,2,1220,3095,6,Firefox
NA,15,9250,6042,3,Firefox
NA,12,8230,2728,5,Firefox
NA,10,6550,3595,5,Firefox
NA,18,9373,3177,6,Firefox
NA,9,6212,3593,2,Firefox
NA,14,9181,4307,4,Firefox
NA,11,6838,5267,3,Firefox
NA,19,9584,2385,3,Firefox
NA,10,6550,7105,4,Mozilla
NA,14,9181,8942,4,Mozilla
NA,3,1274,5241,3,Mozilla
NA,13,9042,18553,4,Mozilla
NA,2,1220,5723,2,Mozilla
NA,7,3530,5487,2,Mozilla
NA,15,9250,4476,4,Mozilla
NA,8,3550.1,6881,4,Mozilla
NA,4,2053,6805,3,Mozilla
NA,9,6212,14937,3,Mozilla
NA,16,9300,5867,5,Mozilla
NA,11,6838,9264,4,Mozilla
NA,5,3160,4057,4,Mozilla
NA,17,9320,8987,4,Mozilla
NA,19,9584,3923,1,Mozilla
NA,12,8230,4599,3,Mozilla
NA,20,9592,2561,1,Mozilla
NA,1,1052,2594,2,Mozilla
NA,18,9373,10514,2,Mozilla
NA,6,3220,5241,3,Mozilla
NA,4,2053,2254,7,Chrome
NA,12,8230,2350,5,Chrome
NA,18,9373,2648,5,Chrome
NA,7,3530,3481,4,Chrome
NA,2,1220,1943,2,Chrome
NA,13,9042,2875,6,Chrome
NA,5,3160,4986,3,Chrome
NA,19,9584,2202,6,Chrome
NA,6,3220,3162,6,Chrome
NA,14,9181,1658,7,Chrome
NA,10,6550,3482,7,Chrome
NA,1,1052,2041,1,Chrome
NA,9,6212,3738,6,Chrome
NA,8,3550.1,4186,6,Chrome
NA,3,1274,2009,3,Chrome
NA,11,6838,6170,6,Chrome
NA,15,9250,2842,6,Chrome
NA,17,9320,1498,1,Chrome
NA,20,9592,1947,1,Chrome
NA,16,9300,2424,6,Chrome
NA,19,9584,8193,6,Mozilla
NA,8,3550.1,7222,5,Mozilla
NA,11,6838,8631,4,Mozilla
NA,15,9250,3098,3,Mozilla
NA,13,9042,2353,7,Mozilla
NA,2,1220,2436,2,Mozilla
NA,9,6212,5159,4,Mozilla
NA,16,9300,2388,4,Mozilla
NA,10,6550,4264,2,Mozilla
NA,18,9373,2407,2,Mozilla
NA,1,1052,1148,2,Mozilla
NA,5,3160,2800,3,Mozilla
NA,6,3220,6670,4,Mozilla
NA,7,3530,5952,4,Mozilla
NA,14,9181,2928,5,Mozilla
NA,3,1274,1025,2,Mozilla
NA,20,9592,1475,2,Mozilla
NA,17,9320,2544,3,Mozilla
NA,12,8230,2021,2,Mozilla
NA,4,2053,3200,6,Mozilla
NA,11,6838,9073,5,Chrome
NA,3,1274,2470,2,Chrome
NA,7,3530,4783,6,Chrome
NA,6,3220,6091,4,Chrome
NA,14,9181,2200,5,Chrome
NA,4,2053,4394,6,Chrome
NA,20,9592,3121,1,Chrome
NA,5,3160,2441,2,Chrome
NA,1,1052,1185,1,Chrome
NA,10,6550,2161,5,Chrome
NA,19,9584,2041,4,Chrome
NA,9,6212,2138,7,Chrome
NA,12,8230,2433,1,Chrome
NA,16,9300,1546,7,Chrome
NA,18,9373,2562,5,Chrome
NA,17,9320,1329,7,Chrome
NA,13,9042,2255,5,Chrome
NA,15,9250,2369,4,Chrome
NA,2,1220,1562,1,Chrome
NA,8,3550.1,1802,2,Chrome
NA,8,3550.1,3572,6,Chrome
NA,19,9584,3410,4,Chrome
NA,15,9250,2448,5,Chrome
NA,3,1274,3065,4,Chrome
NA,1,1052,2612,5,Chrome
NA,4,2053,1992,7,Chrome
NA,7,3530,2525,3,Chrome
NA,5,3160,2984,4,Chrome
NA,11,6838,5709,2,Chrome
NA,17,9320,6782,2,Chrome
NA,20,9592,2267,1,Chrome
NA,18,9373,2913,4,Chrome
NA,14,9181,3306,6,Chrome
NA,13,9042,2162,5,Chrome
NA,12,8230,8665,3,Chrome
NA,16,9300,1991,4,Chrome
NA,10,6550,1928,2,Chrome
NA,9,6212,6359,4,Chrome
NA,2,1220,7388,5,Chrome
NA,6,3220,3213,3,Chrome
NA,6,3220,7833,2,Firefox
NA,18,9373,20144,4,Firefox
NA,10,6550,7851,3,Firefox
NA,3,1274,3416,2,Firefox
NA,1,1052,13121,1,Firefox
NA,5,3160,8738,5,Firefox
NA,9,6212,4673,1,Firefox
NA,15,9250,6367,4,Firefox
NA,19,9584,8641,1,Firefox
NA,7,3530,22940,3,Firefox
NA,12,8230,4981,2,Firefox
NA,2,1220,4135,3,Firefox
NA,11,6838,9877,2,Firefox
NA,4,2053,9672,4,Firefox
NA,17,9320,4766,6,Firefox
NA,13,9042,5786,5,Firefox
NA,16,9300,3119,7,Firefox
NA,14,9181,3401,7,Firefox
NA,20,9592,3614,3,Firefox
NA,8,3550.1,4555,2,Firefox
NA,10,6550,5975,1,Chrome
NA,14,9181,8970,7,Chrome
NA,6,3220,1877,7,Chrome
NA,17,9320,1337,7,Chrome
NA,8,3550.1,1256,7,Chrome
NA,9,6212,1314,7,Chrome
NA,20,9592,3478,1,Chrome
NA,13,9042,1790,7,Chrome
NA,7,3530,2227,7,Chrome
NA,4,2053,6686,4,Chrome
NA,12,8230,1953,4,Chrome
NA,19,9584,2133,2,Chrome
NA,16,9300,1773,7,Chrome
NA,18,9373,1044,7,Chrome
NA,3,1274,1110,7,Chrome
NA,5,3160,3245,1,Chrome
NA,11,6838,4399,4,Chrome
NA,1,1052,3428,1,Chrome
NA,15,9250,2709,4,Chrome
NA,2,1220,2553,7,Chrome
NA,14,9181,13682,5,Chrome
NA,20,9592,4129,2,Chrome
NA,5,3160,3190,3,Chrome
NA,1,1052,4071,3,Chrome
NA,9,6212,4912,3,Chrome
NA,19,9584,3360,3,Chrome
NA,10,6550,3918,4,Chrome
NA,4,2053,3082,7,Chrome
NA,16,9300,3940,5,Chrome
NA,6,3220,4627,3,Chrome
NA,15,9250,3549,5,Chrome
NA,3,1274,2627,2,Chrome
NA,13,9042,5098,4,Chrome
NA,2,1220,1494,2,Chrome
NA,11,6838,6640,5,Chrome
NA,17,9320,2811,5,Chrome
NA,7,3530,5719,4,Chrome
NA,8,3550.1,3642,4,Chrome
NA,12,8230,3439,3,Chrome
NA,18,9373,2828,4,Chrome
NA,13,9042,11452,5,Chrome
NA,6,3220,3928,6,Chrome
NA,4,2053,5947,7,Chrome
NA,8,3550.1,7730,6,Chrome
NA,17,9320,7515,5,Chrome
NA,14,9181,12468,6,Chrome
NA,9,6212,7162,7,Chrome
NA,10,6550,2624,6,Chrome
NA,18,9373,4819,3,Chrome
NA,5,3160,6475,4,Chrome
NA,12,8230,5241,5,Chrome
NA,2,1220,3125,5,Chrome
NA,16,9300,2399,5,Chrome
NA,15,9250,3123,6,Chrome
NA,3,1274,2147,2,Chrome
NA,20,9592,3829,2,Chrome
NA,11,6838,11237,7,Chrome
NA,19,9584,8232,4,Chrome
NA,1,1052,5836,2,Chrome
NA,7,3530,6255,7,Chrome
NA,2,1220,3865,7,Chrome
NA,9,6212,2326,7,Chrome
NA,4,2053,2378,7,Chrome
NA,1,1052,3350,7,Chrome
NA,18,9373,3704,7,Chrome
NA,20,9592,2213,5,Chrome
NA,19,9584,1806,7,Chrome
NA,3,1274,2111,5,Chrome
NA,13,9042,1502,7,Chrome
NA,12,8230,3711,6,Chrome
NA,11,6838,4527,7,Chrome
NA,17,9320,1606,7,Chrome
NA,7,3530,1595,7,Chrome
NA,15,9250,3016,7,Chrome
NA,10,6550,1624,7,Chrome
NA,14,9181,1567,7,Chrome
NA,6,3220,1414,7,Chrome
NA,5,3160,1415,7,Chrome
NA,8,3550.1,1653,7,Chrome
NA,16,9300,3339,7,Chrome
NA,3,1274,23584,1,Chrome
NA,1,1052,705,4,Chrome
NA,20,9592,1369,1,Chrome
NA,2,1220,500,2,Chrome
NA,10,6550,747,1,Chrome
NA,13,9042,1478,1,Chrome
NA,7,3530,1456,1,Chrome
NA,4,2053,525,1,Chrome
NA,17,9320,474,1,Chrome
NA,6,3220,596,3,Chrome
NA,9,6212,508,1,Chrome
NA,5,3160,612,3,Chrome
NA,15,9250,731,1,Chrome
NA,12,8230,580,1,Chrome
NA,18,9373,2805,1,Chrome
NA,16,9300,931,1,Chrome
NA,8,3550.1,1251,1,Chrome
NA,14,9181,1146,3,Chrome
NA,11,6838,1043,3,Chrome
NA,19,9584,1501,1,Chrome
NA,19,9584,4551,4,Chrome
NA,6,3220,6599,4,Chrome
NA,9,6212,4358,7,Chrome
NA,18,9373,5749,6,Chrome
NA,14,9181,29,6,Chrome
NA,11,6838,21,6,Chrome
NA,13,9042,2788,6,Chrome
NA,16,9300,1947,6,Chrome
NA,17,9320,3171,5,Chrome
NA,10,6550,2177,6,Chrome
NA,15,9250,3724,5,Chrome
NA,3,1274,2699,7,Chrome
NA,1,1052,2409,7,Chrome
NA,2,1220,1699,6,Chrome
NA,12,8230,1978,5,Chrome
NA,20,9592,3179,2,Chrome
NA,8,3550.1,4124,5,Chrome
NA,4,2053,6502,7,Chrome
NA,7,3530,2124,5,Chrome
NA,5,3160,2307,5,Chrome
NA,2,1220,18560,4,Chrome
NA,6,3220,2621,6,Chrome
NA,19,9584,1756,3,Chrome
NA,10,6550,2221,6,Chrome
NA,14,9181,2192,7,Chrome
NA,1,1052,2159,3,Chrome
NA,20,9592,1538,2,Chrome
NA,15,9250,2148,6,Chrome
NA,9,6212,13285,2,Chrome
NA,12,8230,1719,5,Chrome
NA,8,3550.1,1523,7,Chrome
NA,18,9373,1893,6,Chrome
NA,4,2053,3126,3,Chrome
NA,16,9300,1335,6,Chrome
NA,5,3160,2773,5,Chrome
NA,3,1274,1436,5,Chrome
NA,17,9320,2263,6,Chrome
NA,7,3530,1940,7,Chrome
NA,11,6838,4005,6,Chrome
NA,13,9042,1547,7,Chrome
NA,7,3530,11271,4,Chrome
NA,17,9320,3986,5,Chrome
NA,19,9584,3466,3,Chrome
NA,18,9373,1393,5,Chrome
NA,9,6212,2956,6,Chrome
NA,15,9250,2409,3,Chrome
NA,16,9300,2545,4,Chrome
NA,6,3220,4473,3,Chrome
NA,4,2053,1386,3,Chrome
NA,12,8230,2362,2,Chrome
NA,20,9592,1130,2,Chrome
NA,11,6838,9520,3,Chrome
NA,3,1274,2889,2,Chrome
NA,2,1220,2033,2,Chrome
NA,13,9042,2139,2,Chrome
NA,5,3160,1721,2,Chrome
NA,8,3550.1,4609,3,Chrome
NA,10,6550,3675,4,Chrome
NA,1,1052,1393,2,Chrome
NA,14,9181,2521,6,Chrome
NA,1,1052,10510,3,Firefox
NA,18,9373,5179,5,Firefox
NA,11,6838,10676,3,Firefox
NA,20,9592,3212,2,Firefox
NA,10,6550,4654,6,Firefox
NA,19,9584,2977,3,Firefox
NA,4,2053,6716,1,Firefox
NA,2,1220,5297,2,Firefox
NA,17,9320,2498,6,Firefox
NA,16,9300,2858,6,Firefox
NA,8,3550.1,5628,6,Firefox
NA,13,9042,2129,5,Firefox
NA,6,3220,5831,2,Firefox
NA,15,9250,5437,4,Firefox
NA,7,3530,6774,5,Firefox
NA,12,8230,5624,4,Firefox
NA,5,3160,3482,4,Firefox
NA,3,1274,2171,4,Firefox
NA,14,9181,2980,5,Firefox
NA,9,6212,3186,4,Firefox
NA,16,9300,4793,1,Firefox
NA,3,1274,2278,2,Firefox
NA,8,3550.1,1631,1,Firefox
NA,18,9373,3109,3,Firefox
NA,5,3160,2868,4,Firefox
NA,17,9320,3141,3,Firefox
NA,11,6838,7733,1,Firefox
NA,15,9250,3801,3,Firefox
NA,20,9592,2300,3,Firefox
NA,19,9584,2648,3,Firefox
NA,13,9042,3566,1,Firefox
NA,7,3530,2572,1,Firefox
NA,4,2053,1969,1,Firefox
NA,14,9181,3647,2,Firefox
NA,9,6212,4983,2,Firefox
NA,12,8230,1167,1,Firefox
NA,1,1052,878,1,Firefox
NA,10,6550,1611,1,Firefox
NA,6,3220,8545,4,Firefox
NA,2,1220,3104,3,Firefox
NA,13,9042,7192,3,Chrome
NA,4,2053,1783,2,Chrome
NA,11,6838,4669,5,Chrome
NA,8,3550.1,1944,4,Chrome
NA,15,9250,1627,5,Chrome
NA,19,9584,2520,3,Chrome
NA,18,9373,1801,4,Chrome
NA,5,3160,1820,4,Chrome
NA,12,8230,2101,5,Chrome
NA,9,6212,2384,6,Chrome
NA,14,9181,1815,5,Chrome
NA,6,3220,1297,5,Chrome
NA,20,9592,9532,4,Chrome
NA,3,1274,1909,2,Chrome
