•ÈÀV1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Intro,mTurk ID,Age,Gender,Ethnicity,Country,Exper_text,Exper_rate_1,SS_text,SS_rate_1,SS_rate_2,SS_rate_3,SS_num,SS_time,IRQ_1,IRQ_2,IRQ_3,IRQ_4,IRQ_5,IRQ_6,IRQ_7,IRQ_8,IRQ_9,IRQ_10,IRQ_11,IRQ_12,IRQ_13,IRQ_14,IRQ_15,IRQ_16,ERQ_1,ERQ_2,ERQ_3,ERQ_4,ERQ_5,ERQ_6,ERQ_7,ERQ_8,ERQ_9,ERQ_10,BFI_E_1,BFI_E_2,BFI_E_3,BFI_E_4,BFI_E_5,BFI_E_6,BFI_E_7,BFI_E_8,TY,LocationLatitude,LocationLongitude,LocationAccuracy
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:41,10/10/14 7:49,1,1,1,NA,28,2,5,1,NA,7,NA,7,7,7,1,10,2,5,2,5,6,6,7,2,6,6,6,6,1,1,1,5,5,3,6,2,6,2,6,6,5,6,1,5,4,2,5,2,5,1,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:44,10/10/14 7:49,1,1,1,NA,36,2,5,1,NA,7,NA,2,2,2,1,15,1,1,1,1,2,2,2,2,6,6,6,6,2,2,2,2,4,5,5,3,5,5,5,5,5,5,4,4,2,2,4,4,4,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:43,10/10/14 7:49,1,1,1,NA,36,1,5,1,NA,7,NA,7,7,5,10,60,6,6,6,6,7,7,6,6,7,7,7,7,6,6,6,6,6,2,6,2,4,2,6,4,2,6,4,2,3,4,2,4,2,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:43,10/10/14 7:49,1,1,1,NA,60,2,5,1,NA,6,NA,4,5,5,2,120,6,6,6,6,6,6,6,7,5,5,5,6,3,3,5,3,5,6,5,3,5,6,5,5,3,5,4,3,3,4,2,5,2,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:45,10/10/14 7:50,1,1,1,NA,47,2,5,1,NA,5,NA,4,4,3,1,15,5,2,2,2,7,7,7,6,2,6,5,6,3,5,6,6,5,5,6,2,6,5,6,5,3,6,2,4,4,4,4,2,4,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:41,10/10/14 7:50,1,1,1,NA,21,2,4,1,NA,7,NA,5,7,5,1,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,1,4,4,2,4,2,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:41,10/10/14 7:50,1,1,1,NA,36,1,5,1,NA,6,NA,6,7,6,3,120,5,3,3,4,6,5,6,3,5,4,4,6,3,5,5,6,5,3,6,3,3,3,5,5,3,5,4,4,3,4,2,3,3,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:41,10/10/14 7:50,1,1,1,NA,56,2,5,1,NA,7,NA,4,4,1,1,10,1,1,1,1,6,6,6,5,7,7,7,7,3,3,3,5,5,5,5,2,3,4,5,5,4,5,2,4,2,2,4,2,5,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:45,10/10/14 7:51,1,1,1,NA,41,1,5,1,NA,4,NA,5,7,6,10,120,5,5,2,3,7,6,6,6,3,3,3,3,7,6,6,6,5,3,5,3,6,3,5,5,3,5,4,2,4,4,2,3,2,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:45,10/10/14 7:51,1,1,1,NA,37,1,10,1,NA,7,NA,6,7,3,2,30,1,1,2,2,5,4,5,5,5,6,5,5,4,4,3,5,5,7,5,4,5,7,5,5,7,5,2,4,2,3,4,3,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:47,10/10/14 7:51,1,1,1,NA,27,1,5,1,NA,6,NA,6,7,7,2,60,2,2,2,4,6,6,7,6,6,6,6,6,4,5,4,6,5,6,6,2,5,6,4,5,6,6,2,4,3,2,4,2,5,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:46,10/10/14 7:51,1,1,1,NA,21,2,5,1,NA,6,NA,1,2,1,10,50,3,1,1,4,5,6,7,6,5,5,5,7,4,5,5,5,2,7,2,3,2,7,4,3,6,3,1,5,1,2,5,2,5,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:47,10/10/14 7:51,1,1,1,NA,41,1,5,1,NA,6,NA,4,3,3,5,25,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,3,4,4,5,4,4,5,4,3,3,3,3,3,3,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:43,10/10/14 7:51,1,1,1,NA,31,1,5,1,NA,3,NA,7,7,6,3,45,6,5,6,7,7,6,7,7,5,7,7,7,7,7,7,7,6,2,6,5,6,1,5,5,2,6,5,1,4,5,1,5,1,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:39,10/10/14 7:52,1,1,1,NA,53,2,5,1,NA,7,NA,4,2,1,2,5,1,2,2,5,6,6,6,4,4,6,3,3,3,5,5,5,3,3,3,5,4,3,3,5,5,3,4,2,4,3,3,2,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:40,10/10/14 7:52,1,1,1,NA,52,1,5,1,NA,5,NA,7,7,6,1,10,2,1,1,4,7,6,7,6,2,6,5,6,5,5,5,6,7,5,7,2,7,6,7,7,6,7,2,4,3,4,4,2,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:43,10/10/14 7:52,1,1,1,NA,35,2,7,1,NA,7,NA,7,7,6,2,120,7,6,7,5,6,7,7,6,7,6,6,7,6,7,7,7,7,1,5,1,6,2,6,7,3,6,4,2,5,4,2,5,2,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:42,10/10/14 7:52,1,1,1,NA,32,1,5,1,NA,6,NA,6,4,3,2,15,6,7,5,6,6,7,6,4,6,7,5,6,7,6,7,7,5,3,3,2,2,1,3,3,1,4,5,1,3,4,1,4,1,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:39,10/10/14 7:53,1,1,1,NA,50,2,4,1,NA,7,NA,1,1,1,3,120,6,5,5,6,6,6,6,6,6,6,6,6,5,6,5,6,5,2,5,2,5,2,6,5,2,5,4,4,4,3,4,4,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:42,10/10/14 7:53,1,1,1,NA,39,1,5,1,NA,5,NA,7,6,4,1,3,5,4,4,2,7,6,7,7,4,5,4,5,4,4,5,5,5,6,1,3,6,6,5,6,4,6,2,3,4,3,4,4,4,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:46,10/10/14 7:53,1,1,1,NA,33,1,6,1,NA,7,NA,7,7,1,2,30,1,1,1,1,6,6,2,4,5,6,5,7,3,5,6,6,5,7,6,3,2,3,6,6,1,2,2,5,2,2,5,4,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:45,10/10/14 7:53,1,1,1,NA,26,2,5,1,NA,7,NA,7,7,5,1,45,7,5,5,4,7,7,5,6,4,5,4,6,4,4,4,4,3,5,3,2,2,3,3,3,3,3,4,3,2,2,3,5,4,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:45,10/10/14 7:53,1,1,1,NA,54,2,5,1,NA,4,NA,6,5,4,1,5,5,3,2,4,5,6,6,6,5,5,4,5,2,4,4,4,6,4,6,2,5,3,6,6,4,4,3,3,2,4,5,3,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:45,10/10/14 7:53,1,1,1,NA,59,2,5,1,NA,7,NA,4,2,1,2,40,5,5,5,5,6,6,6,5,5,5,5,5,2,3,2,3,2,6,2,6,2,6,3,3,5,2,4,3,2,2,3,1,4,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:46,10/10/14 7:53,1,1,1,NA,35,2,5,1,NA,6,NA,7,6,5,7,300,6,5,6,7,6,7,7,6,5,6,5,7,6,7,7,6,6,1,5,2,6,2,7,6,2,5,5,2,4,5,1,4,2,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:44,10/10/14 7:53,1,1,1,NA,22,2,5,1,NA,6,NA,4,6,3,4,120,3,2,3,3,5,5,6,3,3,2,3,6,5,6,6,6,5,6,6,2,5,5,6,3,6,5,4,4,3,3,5,5,5,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:48,10/10/14 7:54,1,1,1,NA,40,1,5,1,NA,6,NA,6,6,6,1,5,1,1,1,1,4,5,5,1,1,1,1,1,1,1,1,4,6,7,6,6,6,6,6,6,6,6,1,5,2,2,5,1,5,1,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:40,10/10/14 7:54,1,1,1,NA,32,2,4,1,NA,5,NA,7,7,7,1,5,5,6,3,3,7,6,7,6,7,7,7,7,7,7,7,7,5,5,5,2,5,6,6,6,5,6,2,4,2,1,4,5,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:41,10/10/14 7:54,1,1,1,NA,33,1,5,1,NA,4,NA,1,2,2,2,30,4,3,4,2,6,6,4,4,6,6,5,4,5,6,6,6,5,4,4,3,4,3,5,5,3,3,4,4,2,4,3,3,3,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:46,10/10/14 7:54,1,1,1,NA,20,1,10,1,NA,7,NA,4,7,3,3,120,5,2,2,2,7,6,6,6,6,6,6,6,7,6,7,7,6,6,6,2,6,6,6,5,3,6,5,1,5,5,1,4,1,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:48,10/10/14 7:54,1,1,1,NA,41,1,5,1,NA,6,NA,7,7,7,6,120,5,3,4,5,6,6,6,5,5,5,5,6,5,5,5,5,4,1,5,2,4,2,4,5,2,5,5,1,4,3,1,3,1,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:49,10/10/14 7:54,1,1,1,NA,32,2,5,1,NA,6,NA,4,6,5,4,25,6,4,5,5,6,6,6,7,6,7,6,6,6,6,6,7,6,4,6,3,5,3,6,6,4,6,4,3,3,4,3,4,3,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:45,10/10/14 7:55,1,1,1,NA,37,2,5,1,NA,7,NA,6,6,6,2,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,5,1,4,4,2,2,4,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:44,10/10/14 7:55,1,1,1,NA,59,1,5,1,NA,7,NA,6,6,4,2,15,3,3,5,4,6,6,6,6,6,6,6,6,4,5,5,5,6,5,6,2,6,2,6,6,2,6,2,4,3,2,4,1,4,1,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:44,10/10/14 7:55,1,1,1,NA,29,1,5,1,NA,4,NA,5,3,6,2,10,2,3,2,4,5,4,5,2,5,6,3,4,5,3,4,1,5,6,2,4,6,5,4,3,6,5,2,5,3,1,5,4,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:48,10/10/14 7:55,1,1,1,NA,34,2,7,1,NA,7,NA,7,7,7,1,150,3,1,1,2,6,6,6,6,6,6,5,7,6,6,6,6,7,5,6,1,7,7,7,7,3,7,5,2,5,5,1,5,1,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:46,10/10/14 7:55,1,1,1,NA,35,2,6,1,NA,4,NA,7,7,7,2,60,6,3,5,3,6,6,6,6,3,3,5,6,4,5,5,4,5,7,5,5,5,5,5,5,5,5,4,4,4,3,4,1,5,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:40,10/10/14 7:56,1,1,1,NA,30,1,5,1,NA,7,NA,7,7,7,1,2,2,5,3,4,4,3,5,2,4,3,2,4,4,5,4,2,4,4,3,3,5,4,2,5,3,5,2,4,4,2,3,2,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:43,10/10/14 7:56,1,1,1,NA,48,2,5,1,NA,5,NA,7,7,5,6,60,7,7,6,7,7,7,7,7,6,7,7,7,6,7,7,7,6,2,6,1,5,1,6,6,1,6,5,2,4,5,3,3,3,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:49,10/10/14 7:56,1,1,1,NA,47,2,5,1,NA,6,NA,6,6,4,1,5,3,2,3,3,6,6,6,6,6,6,6,6,3,5,5,5,5,4,5,2,6,3,5,5,3,5,3,2,4,3,2,4,1,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:49,10/10/14 7:56,1,1,1,NA,31,1,5,1,NA,5,NA,7,7,6,1,20,3,3,3,4,7,5,5,7,5,5,6,7,5,5,6,6,6,7,7,1,4,6,7,7,6,6,4,1,4,4,1,5,2,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:53,10/10/14 7:56,1,1,1,NA,21,1,11,1,NA,4,NA,5,4,5,3,10,6,4,3,5,6,2,4,5,3,5,4,6,5,2,4,5,6,3,4,6,5,6,2,4,7,7,2,3,5,4,2,3,5,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:39,10/10/14 7:56,1,1,1,NA,30,2,10,1,NA,6,NA,7,6,4,2,15,6,5,4,5,6,7,6,6,6,6,6,7,4,6,6,6,6,4,6,2,5,2,5,4,3,5,2,4,3,3,5,2,5,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:49,10/10/14 7:56,1,1,1,NA,27,2,5,1,NA,6,NA,7,7,4,4,60,6,5,5,5,7,7,7,7,5,5,5,5,7,7,7,7,7,6,7,1,7,7,7,7,5,7,5,4,5,5,5,5,3,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:47,10/10/14 7:56,1,1,1,NA,34,1,2,1,NA,6,NA,5,4,5,1,15,2,2,4,3,6,5,6,6,3,4,4,6,5,5,6,6,4,5,5,3,5,6,5,5,5,6,2,4,3,3,4,1,4,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:47,10/10/14 7:56,1,1,1,NA,33,2,5,1,NA,5,NA,6,4,6,1,2,5,5,3,4,7,7,7,7,7,7,7,7,6,5,6,6,4,2,4,2,3,5,4,4,6,4,3,4,1,2,5,1,5,1,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:50,10/10/14 7:56,1,1,1,NA,35,1,5,1,NA,5,NA,7,7,5,3,5,2,2,3,6,6,2,7,5,7,7,7,6,2,3,2,4,6,2,6,1,5,1,6,6,1,5,4,1,4,4,1,5,1,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:44,10/10/14 7:56,1,1,1,NA,27,1,7,1,NA,6,NA,4,5,5,2,120,5,3,2,3,5,5,5,5,5,4,4,4,5,5,5,5,2,4,6,4,5,4,5,5,4,5,3,4,3,3,4,4,3,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:39,10/10/14 7:57,1,1,1,NA,50,1,6,1,NA,7,NA,7,7,7,5,60,7,7,4,7,7,7,7,7,6,6,6,7,7,7,7,7,1,1,2,1,5,1,5,5,1,5,4,1,4,4,2,5,2,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:39,10/10/14 7:57,1,1,1,NA,29,2,4,1,NA,7,NA,1,1,1,5,60,6,4,2,4,7,7,7,7,6,7,7,7,5,7,5,7,7,6,7,7,6,1,6,7,1,7,2,4,4,3,4,5,4,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:54,10/10/14 7:57,1,1,1,NA,28,1,5,1,NA,6,NA,6,5,5,3,30,5,4,5,5,3,5,4,5,5,4,5,6,6,6,6,6,6,5,4,4,5,4,3,4,5,4,3,4,2,2,4,2,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:52,10/10/14 7:57,1,1,1,NA,32,1,5,1,NA,6,NA,7,7,3,7,45,3,3,4,3,6,5,5,5,3,3,3,4,5,4,4,6,5,5,4,3,3,5,5,5,5,5,2,4,4,3,5,1,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:49,10/10/14 7:57,1,1,1,NA,21,2,5,1,NA,5,NA,7,7,4,3,20,1,2,2,3,5,5,5,6,7,6,6,7,2,4,2,4,6,7,6,3,5,4,6,5,5,5,2,4,3,3,4,2,5,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:39,10/10/14 7:57,1,1,1,NA,64,2,5,1,NA,7,NA,7,7,7,6,60,5,5,5,5,6,5,6,6,6,6,6,6,6,5,5,6,5,5,5,3,5,5,5,5,4,5,3,4,4,4,3,4,2,4,1,NA,NA,-1
