ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Description,mturkID,age,sex,ethnicity,country,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,StartDate2,EndDate2,rt
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:24,3/15/13 10:37,1,1,NA,43,2,5,1,5,6,6,5,6,7,5,7,6,7,6,6,7,3,7,5,4,7,6,6,6,5,7,7,7,6,7,5,6,7,6,7,6,7,7,7,6,7,5,7,7,5,7,5,6,6,7,7,7,6,6,5,6,6,6,6,6,7,5,7,3,7,6,7,7,6,6,7,7,5,6,6,6,6,5,6,6,6,5,5,5,3,7,5,7,6,5,3/15/13 10:24,3/15/13 10:37,12.68333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:23,3/15/13 10:37,1,1,NA,42,1,6,1,3,3,2,4,2,2,2,3,3,3,5,3,3,6,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,3,3,3,5,3,3,2,4,3,2,3,3,3,4,3,3,2,3,2,3,3,3,3,3,4,3,3,2,4,3,4,4,3,3,3,4,3,3,2,4,3,3,3,2,4,3,3,4,2,3,3,3,3,2,3,2,2,3/15/13 10:23,3/15/13 10:37,13.78333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:30,3/15/13 10:38,1,1,NA,22,1,5,1,3,1,3,2,6,1,4,3,4,5,5,5,5,7,7,5,1,6,1,6,2,1,5,5,2,2,1,2,1,3,2,1,5,6,5,5,1,5,3,5,5,1,5,6,2,2,2,5,1,1,4,2,5,1,5,3,2,2,4,7,5,5,7,6,1,6,3,6,1,6,3,6,1,1,7,2,2,6,2,4,2,6,4,1,2,3,7,3/15/13 10:30,3/15/13 10:38,8.033333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:27,3/15/13 10:38,1,1,NA,64,1,5,1,5,5,6,4,5,5,5,5,5,5,5,6,6,2,6,3,4,4,6,3,4,3,5,6,5,5,5,5,5,5,5,6,6,5,6,4,6,5,5,5,5,5,5,6,5,3,5,6,4,6,5,3,6,5,6,5,5,5,5,5,4,5,5,5,5,5,5,3,4,6,5,4,3,6,5,5,5,5,5,5,6,6,5,5,5,4,5,3/15/13 10:27,3/15/13 10:38,11.63333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:26,3/15/13 10:39,1,1,NA,28,1,5,1,5,4,3,2,6,5,5,4,4,2,5,2,2,4,5,4,2,2,3,4,3,3,4,4,4,3,2,1,4,3,2,3,5,5,4,5,4,2,4,5,5,4,6,2,3,3,1,3,3,2,3,5,3,4,5,4,4,4,3,5,3,5,6,6,5,5,4,3,6,2,4,3,2,3,6,3,3,5,2,2,2,4,3,4,6,2,7,3/15/13 10:26,3/15/13 10:39,12.71666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:33,3/15/13 10:39,1,1,NA,24,1,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,6,3/15/13 10:33,3/15/13 10:39,5.916666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:31,3/15/13 10:41,1,1,NA,32,2,5,1,4,4,5,3,3,3,3,4,4,5,5,5,5,3,5,4,2,2,2,3,3,2,4,4,4,4,3,2,3,5,3,4,3,5,3,5,4,5,3,5,5,3,5,3,3,3,4,4,4,3,5,3,3,4,5,3,4,3,5,5,3,4,5,5,4,5,5,3,3,2,4,3,5,3,5,6,3,5,3,5,3,4,5,4,4,3,3,3/15/13 10:31,3/15/13 10:41,9.7
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:28,3/15/13 10:41,1,1,NA,28,2,5,1,6,4,4,1,5,6,4,3,4,5,5,5,7,3,6,4,4,4,5,6,4,4,5,5,5,4,4,4,6,5,5,4,7,7,7,5,4,5,7,7,6,4,7,4,5,5,2,4,4,4,4,4,4,4,5,5,6,5,2,7,3,7,7,7,7,7,5,5,3,3,7,5,3,6,5,5,4,7,2,2,5,4,3,2,6,4,3,3/15/13 10:28,3/15/13 10:41,12.16666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:27,3/15/13 10:41,1,1,NA,26,1,4,1,3,5,4,3,4,5,5,6,3,3,5,4,5,4,6,5,3,5,4,3,3,5,6,6,4,3,3,2,4,4,4,3,4,4,7,4,4,3,4,4,3,3,4,4,3,4,4,4,3,3,2,3,3,3,3,4,5,4,4,4,3,4,4,4,4,6,6,4,4,4,4,3,3,4,5,3,4,5,3,5,3,3,4,2,4,3,2,3/15/13 10:27,3/15/13 10:41,13.46666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:32,3/15/13 10:41,1,1,NA,41,2,4,1,3,3,3,3,5,4,3,3,4,3,3,3,5,3,5,3,3,4,3,4,3,3,3,3,3,3,5,3,3,4,3,3,4,4,3,5,3,3,3,4,3,3,5,5,3,3,3,3,4,3,4,4,4,3,4,5,3,5,4,3,4,5,4,5,5,5,3,4,5,4,5,4,5,3,5,4,4,4,3,3,5,3,5,3,5,3,4,3/15/13 10:32,3/15/13 10:41,9.25
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:31,3/15/13 10:41,1,1,NA,22,2,6,1,5,5,5,2,6,4,5,6,5,3,3,4,6,3,7,6,4,6,5,4,5,4,5,3,4,6,5,3,4,3,4,5,4,5,6,4,6,5,5,5,6,3,5,3,5,4,5,5,5,5,5,6,5,4,6,5,5,3,4,3,2,6,5,6,5,4,6,5,2,5,5,5,5,5,5,4,5,5,3,3,5,5,5,3,6,4,5,3/15/13 10:31,3/15/13 10:41,10.11666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:32,3/15/13 10:42,1,1,NA,34,1,5,1,6,5,5,5,6,5,5,4,5,5,6,5,5,3,5,5,5,5,5,5,6,5,4,5,4,5,5,5,5,5,5,5,6,4,3,5,5,6,6,6,5,5,5,5,6,6,6,6,5,6,6,5,6,5,5,6,5,5,3,5,4,6,5,6,6,5,5,5,4,6,6,5,4,5,4,4,5,5,5,5,5,5,6,5,5,5,3,3/15/13 10:32,3/15/13 10:42,10.41666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:28,3/15/13 10:42,1,1,NA,34,1,5,1,5,5,5,5,6,5,6,5,5,3,6,5,2,5,6,5,3,5,3,6,3,6,5,5,5,5,6,6,5,5,3,5,5,5,5,6,5,3,6,5,6,5,6,6,3,6,3,3,5,3,3,5,2,5,3,3,5,5,5,3,3,6,5,5,5,5,5,6,2,6,6,6,5,6,5,3,5,5,3,3,3,5,5,5,5,2,5,3/15/13 10:28,3/15/13 10:42,13.96666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:23,3/15/13 10:42,1,1,NA,22,1,2,1,2,1,1,1,1,3,4,2,5,1,4,1,1,7,6,6,1,1,1,3,7,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,1,4,1,1,5,4,1,1,1,1,7,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3/15/13 10:23,3/15/13 10:42,19.31666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:29,3/15/13 10:43,1,1,NA,54,1,5,1,5,3,2,2,4,5,4,3,3,2,3,3,3,5,4,4,2,3,3,2,3,2,3,2,2,2,2,3,3,2,2,2,3,5,3,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,3,2,2,5,2,3,2,4,3,5,3,3,4,3,4,2,3,2,4,2,3,3,2,2,2,2,3,2,2,2,1,2,1,2,2,2,3/15/13 10:29,3/15/13 10:43,13.9
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:26,3/15/13 10:43,1,1,NA,27,2,5,1,4,4,6,2,6,4,5,6,5,6,4,6,6,4,6,5,2,6,4,6,2,1,5,7,5,5,6,3,4,6,5,4,4,6,6,5,5,7,5,6,7,6,7,6,4,4,4,7,6,5,7,6,6,5,7,6,4,6,5,6,3,6,6,7,6,7,4,6,7,3,5,5,6,6,7,7,4,7,5,5,7,7,5,5,6,2,5,3/15/13 10:26,3/15/13 10:43,17.53333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:27,3/15/13 10:43,1,1,NA,31,1,8,1,4,4,3,4,4,4,5,5,4,5,4,5,4,5,5,5,4,6,2,4,3,1,5,3,3,2,4,1,2,2,1,3,3,4,4,4,4,5,4,2,5,2,4,3,1,2,2,6,1,2,6,4,2,2,5,2,4,1,4,6,5,4,2,4,5,5,5,4,2,4,2,2,4,1,5,3,2,4,2,4,6,2,4,3,4,2,2,3/15/13 10:27,3/15/13 10:43,16.95
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:23,3/15/13 10:44,1,1,NA,33,2,6,1,6,7,7,6,6,7,5,7,7,6,7,7,1,1,7,6,6,7,7,7,7,7,6,6,2,7,7,7,5,6,3,6,5,5,6,7,6,7,3,6,6,7,7,5,2,6,7,7,7,7,2,7,6,6,5,2,6,5,6,7,1,2,7,7,7,7,6,7,6,6,7,7,4,7,6,7,6,7,6,6,6,1,6,7,7,7,7,3/15/13 10:23,3/15/13 10:44,20.4
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:34,3/15/13 10:45,1,1,NA,30,1,2,1,2,2,1,2,1,3,2,3,4,1,1,2,2,7,4,3,1,5,2,3,1,1,1,3,1,1,1,1,1,1,2,1,1,5,1,1,2,2,2,1,1,1,1,3,1,3,1,1,1,1,1,2,1,1,2,3,1,1,5,2,7,2,3,5,3,4,1,2,1,5,2,3,1,1,4,1,1,3,1,3,3,1,3,1,2,1,1,3/15/13 10:34,3/15/13 10:45,10.53333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:23,3/15/13 10:46,1,1,NA,40,2,4,1,5,4,5,2,4,5,4,5,4,5,5,5,5,4,5,4,4,5,3,4,5,4,4,4,4,4,4,3,5,4,4,5,5,6,5,5,4,4,4,5,5,4,5,3,3,4,5,5,5,4,5,3,5,4,5,5,5,5,5,4,4,5,5,5,5,4,5,5,4,4,5,6,3,4,5,5,4,5,5,5,4,6,4,2,4,2,3,3/15/13 10:23,3/15/13 10:46,23.1
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:37,3/15/13 10:47,1,1,NA,29,2,6,1,5,5,2,3,5,5,4,4,4,4,5,4,5,3,4,4,3,2,5,5,5,3,4,4,2,3,3,3,3,3,3,3,5,2,5,4,5,4,5,5,6,4,5,6,3,4,3,2,3,5,5,4,5,2,4,5,5,2,2,5,2,5,5,5,5,5,4,4,2,6,4,5,3,3,3,3,2,4,3,4,3,3,4,2,6,3,4,3/15/13 10:37,3/15/13 10:47,10.16666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:31,3/15/13 10:47,1,1,NA,40,1,5,1,5,5,5,4,4,6,5,5,5,4,4,4,4,5,6,6,4,4,3,3,5,3,5,5,5,3,4,3,5,4,4,4,3,5,5,4,5,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,3,5,5,4,4,2,5,5,4,5,5,6,5,5,5,4,5,6,3,2,3,4,4,3,5,4,4,4,2,3,5,5,4,5,6,3/15/13 10:31,3/15/13 10:47,16.16666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:34,3/15/13 10:47,1,1,NA,45,1,5,1,4,4,3,4,4,4,3,3,4,4,4,5,4,4,5,2,4,5,4,2,4,3,3,5,4,4,4,3,5,4,3,3,4,5,3,5,5,6,3,5,6,4,5,5,5,4,4,5,3,4,6,5,5,3,5,5,4,3,5,4,5,4,4,5,5,4,4,5,4,5,5,5,4,4,5,5,3,5,3,4,5,5,2,5,5,3,3,3/15/13 10:34,3/15/13 10:47,13.43333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:33,3/15/13 10:48,1,1,NA,45,1,5,1,6,6,3,4,7,6,5,3,5,5,6,5,6,3,7,6,6,5,3,5,3,3,5,5,3,3,5,5,6,6,6,5,5,6,6,7,6,5,5,6,5,6,7,6,5,5,3,5,5,3,5,7,6,6,7,5,5,3,3,7,6,7,6,7,5,7,6,6,7,5,5,6,5,6,7,6,3,7,3,3,7,5,1,2,7,5,6,3/15/13 10:33,3/15/13 10:48,15.03333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:42,3/15/13 10:48,1,1,NA,30,2,5,1,6,5,3,4,5,5,6,5,5,4,5,5,6,3,5,5,3,7,5,4,4,3,7,6,3,5,6,5,5,5,3,4,5,5,6,5,5,6,5,5,5,4,7,5,3,3,2,5,5,4,7,4,5,4,5,5,6,4,5,6,6,6,6,6,5,5,6,5,7,5,4,5,5,6,7,7,4,6,6,6,6,5,5,5,5,3,5,3/15/13 10:42,3/15/13 10:48,5.966666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:39,3/15/13 10:49,1,1,NA,41,1,5,1,6,2,3,4,5,5,5,4,4,4,6,4,4,4,5,6,5,4,5,6,5,4,2,4,4,5,4,6,5,3,4,4,4,3,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,5,5,5,5,4,4,4,2,4,3,4,4,4,5,5,4,5,4,4,4,6,6,4,4,4,5,3,4,6,3,4,5,4,3,4,3,3,2,3/15/13 10:39,3/15/13 10:49,9.716666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:37,3/15/13 10:49,1,1,NA,40,2,4,1,7,6,6,6,7,7,6,6,7,7,7,6,6,6,7,6,6,6,5,6,6,5,6,6,6,6,6,6,7,7,6,6,6,5,6,7,7,6,6,6,6,6,7,6,6,6,6,6,6,6,6,5,6,6,6,6,6,7,6,6,3,7,6,7,6,7,7,6,5,6,5,6,5,6,5,6,6,6,6,6,3,3,6,2,7,7,6,3/15/13 10:37,3/15/13 10:49,11.41666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:38,3/15/13 10:50,1,1,NA,49,2,5,1,6,6,6,6,7,2,6,6,6,6,6,6,6,2,7,6,3,4,5,4,5,3,6,6,5,6,5,4,5,3,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,3,6,5,6,6,5,5,7,6,6,6,6,6,2,6,3,6,6,5,6,6,6,3,6,5,6,6,5,5,6,3,6,6,3,6,6,5,6,5,6,3,2,3/15/13 10:38,3/15/13 10:50,11.06666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:34,3/15/13 10:50,1,1,NA,37,2,5,1,5,5,5,5,6,5,4,3,4,5,6,5,7,2,6,4,3,5,5,6,5,5,4,4,6,5,7,5,6,3,5,5,5,5,7,7,5,5,7,5,6,6,7,6,5,5,2,5,6,5,5,6,6,5,5,6,5,6,5,5,5,7,6,7,6,6,5,6,5,6,5,7,6,6,5,3,5,6,5,3,4,5,6,4,6,5,7,3/15/13 10:34,3/15/13 10:50,15.75
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:39,3/15/13 10:50,1,1,NA,40,2,5,1,6,5,4,5,5,6,4,5,5,6,6,5,6,2,6,5,3,6,6,6,5,4,6,6,5,5,6,3,5,6,5,5,5,4,5,6,5,7,5,5,7,4,6,6,5,6,5,7,6,6,6,6,6,5,3,6,5,5,3,5,3,6,5,6,6,6,5,6,5,7,6,5,6,5,4,3,5,5,5,5,4,4,6,3,6,5,3,3/15/13 10:39,3/15/13 10:50,10.86666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:36,3/15/13 10:50,1,1,NA,51,2,5,1,3,3,3,3,3,3,3,3,5,3,3,3,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,5,3,3,3,5,3,3,3,3,3,5,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,5,3,3,3,2,5,5,3,5,3,3,3,3,3,3,3,3,3,3/15/13 10:36,3/15/13 10:50,14.23333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:42,3/15/13 10:52,1,1,NA,38,2,4,1,6,5,5,3,5,6,3,5,5,6,6,4,5,5,5,5,1,3,6,2,3,1,3,6,5,2,7,2,7,5,3,3,3,5,5,5,5,6,5,5,7,3,5,5,5,3,3,6,4,1,6,7,5,5,5,3,5,2,7,5,5,7,6,5,5,5,6,5,3,3,5,4,3,4,5,6,5,5,3,3,3,6,5,5,6,2,1,3/15/13 10:42,3/15/13 10:52,10.03333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:44,3/15/13 10:52,1,1,NA,28,2,5,1,5,4,4,4,5,6,4,4,4,5,6,4,6,4,6,4,5,5,3,6,4,4,4,5,5,5,6,5,5,5,4,5,6,7,5,5,5,5,5,5,5,5,6,6,5,5,5,5,4,3,5,6,6,5,5,3,5,4,4,4,5,6,5,6,5,5,5,6,5,6,2,5,5,6,5,6,4,5,4,4,5,5,5,2,5,3,3,3/15/13 10:44,3/15/13 10:52,7.85
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:29,3/15/13 10:52,1,1,NA,31,1,5,1,2,3,2,4,2,2,4,2,4,2,2,2,3,6,4,4,3,2,3,3,4,3,2,2,2,2,3,2,2,4,3,2,4,4,4,4,2,2,4,4,2,2,4,4,4,3,2,2,3,4,4,3,4,3,4,4,2,2,4,4,4,4,4,5,4,2,2,4,2,4,4,4,3,3,4,4,2,5,2,2,4,4,2,4,2,3,2,3/15/13 10:29,3/15/13 10:52,22.83333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:43,3/15/13 10:52,1,1,NA,25,2,5,1,3,5,3,3,3,5,4,5,5,5,3,3,5,5,4,5,5,3,5,5,3,2,5,6,4,5,4,3,5,5,5,2,4,6,2,3,5,6,4,3,2,5,6,5,1,2,3,5,2,4,5,4,2,4,6,5,4,2,2,4,3,5,4,3,3,3,3,3,4,2,4,2,2,4,5,4,3,5,4,6,4,6,4,4,3,6,3,3/15/13 10:43,3/15/13 10:52,9.466666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:39,3/15/13 10:52,1,1,NA,38,2,5,1,2,3,2,4,4,5,3,3,3,2,3,2,5,5,5,4,3,5,4,4,4,3,5,2,3,3,2,3,3,1,2,2,3,6,3,4,3,2,4,2,5,4,6,4,2,3,2,3,3,3,4,4,4,2,4,4,3,2,5,6,5,6,2,6,4,6,3,5,5,4,3,3,3,3,6,2,3,6,3,2,5,3,6,2,3,3,3,3/15/13 10:39,3/15/13 10:52,13.5
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:38,3/15/13 10:52,1,1,NA,26,2,5,1,6,5,5,2,6,6,4,6,6,6,5,6,5,3,7,5,6,6,6,6,6,6,5,6,5,6,6,4,5,6,6,5,6,6,6,6,6,6,3,6,6,3,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,2,6,2,6,5,6,6,6,6,2,3,5,6,6,5,6,5,4,5,2,6,5,5,4,5,5,6,6,3,3/15/13 10:38,3/15/13 10:52,13.68333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:43,3/15/13 10:52,1,1,NA,66,2,5,1,5,5,3,2,5,6,2,3,6,5,6,4,5,5,6,3,5,6,6,6,6,4,2,5,5,5,6,6,5,4,2,5,5,6,5,5,5,6,5,5,6,3,6,6,5,5,3,3,5,4,6,5,6,3,5,6,5,5,2,6,2,6,5,6,5,3,5,6,2,6,5,6,5,5,5,6,5,5,5,3,5,5,5,5,5,2,2,3/15/13 10:43,3/15/13 10:52,9.183333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:39,3/15/13 10:52,1,1,NA,29,2,5,1,5,6,5,5,6,5,6,4,6,6,5,6,6,2,6,6,5,5,6,6,3,5,5,5,6,6,7,6,6,6,6,6,6,5,6,7,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,5,6,5,6,6,6,6,2,6,3,6,7,6,7,6,6,6,6,6,6,6,5,6,6,6,6,6,6,4,5,6,6,5,6,6,6,3/15/13 10:39,3/15/13 10:52,13.9
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:42,3/15/13 10:53,1,1,NA,54,2,2,1,4,2,2,5,3,4,3,5,5,4,5,4,3,5,6,5,4,4,5,4,6,6,3,4,2,3,3,4,5,3,3,2,3,5,4,4,3,4,4,3,5,3,5,5,5,3,2,4,3,3,3,3,3,3,4,3,3,1,2,4,5,5,4,4,3,3,3,4,3,4,4,5,3,3,5,2,3,5,2,4,3,3,3,3,3,3,1,3/15/13 10:42,3/15/13 10:53,10.33333333
