workerid,q,rt,response,browser,mTurkID,age,gender,ethnicity,irq_tn1,irq_tn2,irq_en1,irq_en2,irq_tp1,irq_tp2,irq_ep1,irq_ep2,irq_tn3,irq_tn4,irq_en3,irq_en4,irq_tp3,irq_tp4,irq_ep3,irq_ep4,irq_tn_total,irq_tp_total,irq_en_total,irq_ep_total,irq_total,erq_r1,erq_r3,erq_r5,erq_r7,erq_r8,erq_r10,erq_s2,erq_s4,erq_s6,erq_s9,erq_r_total,erq_s_total,bfi_e1,bfi_e6,bfi_e11,bfi_e16,bfi_e21,bfi_e26,bfi_e31,bfi_e36,bfi_e_total,task3_about,task3_suspect,task3_check,task3_belief,comments,task_mrate
NA,choice,4954,no_person,Chrome,NA,26,M,5,3,4,6,6,7,5,4,6,4,7,6,6,6,5,6,6,18,23,24,22,87,4,6,6,4,6,5,5,2,5,2,31,14,4,3,4,4,3,4,4,4,30,NA,NA,1,NA,NA,5
NA,choice,7909,person,Chrome,NA,41,M,5,6,3,7,5,3,3,6,6,5,5,6,6,3,3,6,6,19,12,24,24,79,5,5,6,5,5,5,3,3,3,3,31,12,4,4,4,4,4,2,4,4,30,NA,NA,1,NA,NA,6.9
NA,choice,2705,no_person,Chrome,NA,29,M,5,5,5,6,6,3,4,5,5,3,5,6,6,5,5,6,5,18,17,24,21,80,5,5,6,5,5,5,4,2,3,2,31,11,3,2,2,2,2,4,3,4,22,NA,NA,0,NA,NA,6.25
NA,choice,5471,person,Mozilla,NA,35,F,5,5,5,6,6,6,5,7,6,4,5,5,5,5,6,6,6,19,22,22,25,88,4,4,5,5,5,5,2,2,1,1,28,6,4,4,4,4,3,4,3,3,29,NA,NA,1,NA,NA,6.15
NA,choice,5108,person,Chrome,NA,35,F,5,6,4,6,5,6,6,2,5,5,3,5,5,3,3,3,3,18,18,21,13,70,6,6,6,6,6,6,6,5,6,5,36,22,1,1,3,2,1,1,1,1,11,NA,NA,1,NA,NA,6.9
NA,choice,3207,no_person,Chrome,NA,22,F,5,3,3,3,7,2,2,4,4,4,2,5,3,3,4,4,3,12,11,18,15,56,4,5,4,5,4,5,4,3,2,2,27,11,2,3,2,4,5,3,1,1,21,NA,NA,0,NA,NA,5.3
NA,choice,8008,person,Firefox,NA,25,F,5,6,6,7,7,6,7,4,6,5,4,7,5,6,7,6,6,21,26,26,22,95,3,2,5,3,4,3,5,1,2,5,20,13,1,2,2,2,2,1,2,2,14,NA,NA,0,NA,NA,6.7
NA,choice,3987,no_person,Chrome,NA,35,F,5,3,3,5,5,5,5,3,5,5,4,5,6,4,5,3,5,15,19,21,16,71,5,5,5,5,5,5,5,2,5,4,30,16,2,2,2,3,2,3,2,2,18,NA,NA,1,NA,NA,6.75
NA,choice,3782,no_person,Explorer,NA,33,F,5,3,3,3,3,4,3,3,2,1,3,2,3,3,3,3,3,10,13,11,11,45,3,3,5,3,3,3,5,4,5,5,20,19,2,2,2,2,2,2,2,2,16,NA,NA,1,NA,NA,4.9
NA,choice,9344,person,Firefox,NA,36,M,5,2,4,7,2,4,4,4,7,4,7,5,7,4,4,4,7,17,16,21,22,76,5,5,6,5,5,5,1,1,1,1,31,4,4,3,4,4,4,4,4,4,31,NA,NA,1,NA,NA,7
NA,choice,6186,person,Chrome,NA,37,M,5,3,2,6,5,5,2,3,6,2,3,5,5,5,6,5,6,10,18,21,20,69,3,2,3,2,2,2,7,3,6,6,14,22,4,5,3,3,5,5,4,4,33,NA,NA,1,NA,NA,4.4
NA,choice,6077,no_person,Firefox,NA,30,F,5,6,6,7,7,5,6,4,6,6,7,7,6,5,6,6,5,25,22,27,21,95,5,5,6,6,5,6,2,2,2,3,33,9,3,2,3,3,2,2,2,2,19,NA,NA,0,NA,NA,6.8
NA,choice,2440,person,Chrome,NA,27,M,5,3,4,6,5,5,5,4,6,4,5,5,5,6,6,5,6,16,22,21,21,80,4,4,4,5,5,4,5,2,4,6,26,17,5,4,4,4,4,3,4,5,33,NA,NA,1,NA,NA,6
NA,choice,3224,person,Explorer,NA,27,F,5,6,5,6,6,6,6,5,6,5,7,6,6,5,6,6,7,23,23,24,24,94,6,6,6,6,6,6,2,2,2,2,36,8,2,1,4,4,1,2,2,2,18,NA,NA,1,NA,NA,5.8
NA,choice,5622,no_person,Firefox,NA,29,F,10,1,1,5,5,3,2,5,3,1,3,2,5,3,2,2,3,6,10,17,13,46,5,5,5,5,5,5,7,5,6,6,30,24,1,1,2,2,1,3,1,2,13,NA,NA,1,NA,NA,7
NA,choice,5416,no_person,Chrome,NA,51,F,5,6,4,5,5,5,5,4,5,5,4,5,5,4,5,4,6,19,19,20,19,77,4,5,3,4,3,3,3,2,2,3,22,10,2,2,4,3,1,1,2,1,16,NA,NA,1,NA,NA,6.4
NA,choice,5271,person,Chrome,NA,21,F,4,4,2,6,3,3,5,4,4,4,2,4,4,4,6,3,6,12,18,17,17,64,5,5,5,5,5,5,6,2,5,6,30,19,3,2,3,3,2,2,2,2,19,NA,NA,1,NA,NA,5.45
NA,choice,10135,no_person,Mozilla,NA,58,F,10,4,3,5,5,5,5,4,4,4,5,5,4,5,6,5,5,16,21,19,18,74,3,4,5,4,4,3,1,1,1,2,23,5,3,3,2,2,3,3,2,2,20,NA,NA,1,NA,NA,3.4
NA,choice,6566,no_person,Mozilla,NA,30,F,6,6,6,5,5,5,6,4,6,5,5,5,6,6,6,6,6,22,23,21,22,88,7,6,6,6,6,6,4,2,3,3,37,12,4,4,5,5,4,5,4,5,36,NA,NA,1,NA,NA,6.9
NA,choice,1190,no_person,Chrome,NA,30,M,10,4,4,6,5,4,4,6,5,4,3,5,5,4,4,4,5,15,16,21,20,72,4,4,4,4,4,4,6,3,5,2,24,16,1,1,3,1,1,1,2,2,12,NA,NA,1,NA,NA,4.95
NA,choice,4984,person,Safari,NA,38,M,5,3,4,5,5,4,4,5,5,3,5,5,3,4,3,5,5,15,15,18,20,68,6,6,6,6,6,6,5,3,5,3,36,16,2,3,3,3,2,5,2,4,24,NA,NA,0,NA,NA,3.6
NA,choice,5075,person,Mozilla,NA,67,M,5,5,2,5,6,6,6,6,6,4,4,5,6,5,6,5,6,15,23,22,23,83,5,3,5,5,2,5,6,2,2,3,25,13,4,4,3,4,3,4,4,4,30,NA,NA,0,NA,NA,4.45
NA,choice,5530,person,Firefox,NA,31,F,5,2,2,6,7,5,2,3,4,2,2,6,6,4,5,5,5,8,16,25,17,66,6,6,6,6,6,6,5,5,6,5,36,21,2,2,3,2,2,3,3,3,20,NA,NA,1,NA,NA,6.35
NA,choice,4310,no_person,Mozilla,NA,31,M,6,2,6,4,4,4,4,4,7,4,4,4,4,4,4,4,7,16,16,16,22,70,4,4,4,7,4,4,2,4,4,4,27,14,4,2,4,4,3,3,3,3,26,NA,NA,0,NA,NA,2.95
NA,choice,1699,person,Mozilla,NA,37,F,5,2,2,3,6,5,6,2,3,3,3,3,3,5,7,5,3,10,23,15,13,61,5,5,5,5,5,5,6,3,5,5,30,19,4,2,2,2,2,4,3,2,21,NA,NA,1,NA,NA,5.35
NA,choice,3501,no_person,Firefox,NA,61,F,5,5,5,6,6,5,7,6,6,5,7,7,4,6,6,6,6,22,24,23,24,93,5,4,4,5,5,5,1,2,1,1,28,5,5,4,3,3,4,4,5,4,32,NA,NA,0,NA,NA,6.15
NA,choice,3679,no_person,Firefox,NA,31,M,5,3,3,6,5,5,5,6,6,2,4,6,3,5,5,6,7,12,20,20,25,77,6,6,7,6,6,6,5,2,4,5,37,16,2,2,4,3,2,2,3,4,22,NA,NA,0,NA,NA,4.15
NA,choice,6257,no_person,Chrome,NA,34,M,6,5,5,7,6,4,5,4,4,7,3,7,6,2,5,5,6,20,16,26,19,81,6,6,5,6,6,6,6,2,6,5,35,19,2,2,2,2,3,5,3,4,23,NA,NA,1,NA,NA,4.55
NA,choice,8009,person,Chrome,NA,33,M,5,5,2,7,6,7,7,6,7,5,6,2,2,6,7,7,7,18,27,17,27,89,7,7,2,1,7,6,5,1,2,1,30,9,4,2,2,4,3,4,4,5,28,NA,NA,1,NA,NA,6.35
NA,choice,3214,no_person,Chrome,NA,24,F,5,3,3,5,4,4,4,3,3,4,4,5,5,4,5,4,4,14,17,19,14,64,4,4,5,5,6,5,6,5,6,6,29,23,2,2,2,2,2,3,2,2,17,NA,NA,1,NA,NA,6.8
NA,choice,6188,person,Firefox,NA,27,M,5,5,4,6,5,2,2,4,4,3,3,5,5,2,2,4,4,15,8,21,16,60,4,4,5,4,5,4,6,5,5,5,26,21,2,2,2,2,2,2,2,1,15,NA,NA,1,NA,NA,4.2
NA,choice,11710,no_person,Explorer,NA,52,M,5,5,5,7,6,6,6,2,6,7,2,7,5,3,7,6,6,19,22,25,20,86,5,5,2,6,5,4,6,5,5,3,27,19,4,3,2,2,2,3,2,2,20,NA,NA,0,NA,NA,3.55
NA,choice,3095,person,Firefox,NA,28,M,5,5,3,5,2,6,4,5,5,4,4,5,5,5,5,4,5,16,20,17,19,72,5,4,5,5,5,5,6,5,4,4,29,19,2,2,3,2,2,3,3,3,20,NA,NA,1,NA,NA,5.4
NA,choice,3191,no_person,Chrome,NA,23,M,5,1,5,4,3,4,3,3,4,2,6,2,4,3,6,3,4,14,16,13,14,57,4,2,6,3,3,3,3,5,4,5,21,17,4,3,3,2,3,4,4,3,26,NA,NA,1,NA,NA,4.8
NA,choice,8950,no_person,Chrome,NA,32,M,5,5,5,6,5,7,6,6,6,5,3,6,5,6,6,6,6,18,25,22,24,89,6,6,5,5,5,6,7,5,6,5,33,23,2,1,2,2,1,1,1,1,11,NA,NA,1,NA,NA,5.25
NA,choice,4437,person,Chrome,NA,25,F,5,7,6,7,6,6,7,4,6,5,6,7,6,7,7,7,6,24,27,26,23,100,5,4,3,4,3,3,2,1,1,2,22,6,5,3,4,5,4,4,4,5,34,NA,NA,1,NA,NA,6.2
NA,choice,8880,person,Chrome,NA,32,M,5,2,2,3,3,2,2,2,5,2,2,5,3,2,2,2,6,8,8,14,15,45,6,7,6,2,5,6,6,6,6,6,32,24,2,2,4,4,2,2,4,2,22,NA,NA,1,NA,NA,5.4
NA,choice,4882,no_person,Firefox,NA,34,F,5,2,2,5,7,6,7,4,4,2,5,7,3,3,7,5,5,11,23,22,18,74,6,6,5,6,5,5,3,1,1,1,33,6,5,2,3,4,2,1,1,3,21,NA,NA,0,NA,NA,6.4
NA,choice,8967,no_person,Chrome,NA,25,M,5,5,3,4,4,6,6,4,5,4,4,3,5,4,5,4,6,16,21,16,19,72,5,3,4,5,4,3,6,4,6,5,24,21,4,2,3,2,2,4,2,3,22,NA,NA,0,NA,NA,5.6
NA,choice,5749,person,Safari,NA,27,F,5,5,4,7,7,5,7,7,7,4,4,4,3,7,7,7,7,17,26,21,28,92,5,7,7,7,7,7,4,1,1,5,40,11,4,2,4,4,2,5,3,5,29,NA,NA,1,NA,NA,4.9
NA,choice,2732,no_person,Chrome,NA,23,F,5,5,4,6,5,7,6,4,5,4,3,5,4,5,6,5,5,16,24,20,19,79,5,5,5,5,5,4,4,3,4,3,29,14,2,1,4,3,2,2,1,2,17,NA,NA,0,NA,NA,5.3
NA,choice,6730,person,Explorer,NA,64,M,5,5,5,6,5,4,5,5,6,5,5,6,5,4,6,6,6,20,19,22,23,84,6,6,5,6,6,6,5,2,4,5,35,16,4,3,4,4,4,4,3,4,30,NA,NA,1,NA,NA,6
NA,choice,4691,no_person,Safari,NA,23,M,5,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,16,20,20,20,76,4,4,5,4,4,4,4,4,4,4,25,16,3,2,3,3,2,2,2,3,20,NA,NA,1,NA,NA,5.25
NA,choice,5584,person,Firefox,NA,37,F,5,6,6,6,6,6,6,6,6,6,6,7,5,6,6,6,6,24,24,24,24,96,5,5,5,5,5,5,3,2,2,2,30,9,4,4,4,5,4,3,4,4,32,NA,NA,0,NA,NA,5.5
NA,choice,9098,person,Mozilla,NA,41,F,5,7,5,7,6,7,7,4,7,6,6,6,5,6,7,6,6,24,27,24,23,98,4,4,5,4,4,5,1,1,1,1,26,4,3,2,3,3,2,3,2,2,20,NA,NA,1,NA,NA,6.55
NA,choice,6858,no_person,Chrome,NA,58,M,5,3,3,5,2,3,5,3,5,3,3,5,2,3,5,5,5,12,16,14,18,60,6,6,6,6,6,6,3,2,2,3,36,10,2,2,4,4,2,4,4,4,26,NA,NA,1,NA,NA,6.85
NA,choice,3356,person,Mozilla,NA,41,M,5,6,4,6,5,4,4,5,5,5,4,5,5,4,4,5,5,19,16,21,20,76,5,6,5,5,4,6,4,4,4,4,31,16,3,2,3,3,3,3,3,3,23,NA,NA,1,NA,NA,6.25
NA,choice,3053,no_person,Firefox,NA,23,M,5,5,6,7,4,5,5,6,6,6,3,6,4,4,3,6,6,20,17,21,24,82,6,6,4,4,6,6,4,2,2,5,32,13,2,2,4,2,2,3,1,2,18,NA,NA,1,NA,NA,5.55
NA,choice,2782,no_person,Firefox,NA,32,M,10,1,1,5,3,2,2,1,1,1,1,2,2,2,2,1,5,4,8,12,8,32,4,4,6,4,5,5,7,5,5,3,28,20,1,1,2,2,2,4,4,1,17,NA,NA,1,NA,NA,7
NA,choice,3228,person,Chrome,NA,26,F,5,4,2,5,4,3,4,5,5,2,5,4,4,4,5,5,6,13,16,17,21,67,5,6,6,6,5,6,4,3,4,4,34,15,3,3,4,3,3,2,3,4,25,NA,NA,0,NA,NA,6.6
NA,choice,8756,no_person,Firefox,NA,33,F,10,6,4,7,7,7,7,4,6,4,4,7,7,4,6,4,7,18,24,28,21,91,7,7,4,4,4,4,2,1,2,4,30,9,3,1,4,5,3,4,3,3,26,NA,NA,1,NA,NA,2.35
NA,choice,2839,person,Chrome,NA,24,F,5,6,4,7,5,6,6,3,5,5,5,6,5,5,6,5,6,20,23,23,19,85,6,6,6,6,5,5,3,2,2,3,34,10,2,1,3,2,1,3,2,3,17,NA,NA,1,NA,NA,5.65
NA,choice,5583,person,Chrome,NA,25,M,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,28,28,28,28,112,7,7,7,7,7,7,2,2,2,2,42,8,5,5,5,5,5,5,5,5,40,NA,NA,1,NA,NA,7
NA,choice,6241,person,Chrome,NA,25,M,5,3,3,5,5,3,3,4,5,2,4,5,5,3,5,5,5,12,14,20,19,65,5,4,5,5,3,5,5,3,5,3,27,16,3,3,2,2,2,3,4,4,23,NA,NA,1,NA,NA,6.25
NA,choice,5345,no_person,Chrome,NA,21,M,5,3,3,4,4,4,3,3,4,2,2,4,2,2,4,3,4,10,13,14,14,51,6,6,5,5,5,6,6,4,6,6,33,22,2,2,2,2,2,2,2,2,16,NA,NA,1,NA,NA,4.35
NA,choice,4322,no_person,Firefox,NA,32,F,4,6,7,7,7,7,7,4,5,6,7,7,5,7,6,7,7,26,27,26,23,102,7,7,4,7,7,7,1,1,1,2,39,5,1,1,1,1,1,4,1,1,11,NA,NA,1,NA,NA,5
NA,choice,3456,person,Explorer,NA,44,M,4,2,1,3,2,2,2,2,1,1,1,2,2,1,2,1,4,5,7,9,8,29,3,3,3,3,2,3,7,5,5,6,17,23,1,1,2,2,1,1,2,1,11,NA,NA,1,NA,NA,4.35
NA,choice,5909,no_person,Chrome,NA,28,M,5,3,3,6,4,7,5,4,5,3,2,5,5,4,6,4,5,11,22,20,18,71,6,7,6,6,7,6,6,1,5,4,38,16,4,4,5,4,4,4,5,5,35,NA,NA,1,NA,NA,5.75
NA,choice,4608,person,Chrome,NA,29,M,5,4,2,5,6,3,7,6,5,3,3,4,4,6,6,6,5,12,22,19,22,75,4,2,6,1,3,2,6,2,5,4,18,17,3,4,2,3,4,5,5,2,28,NA,NA,0,NA,NA,3.4
NA,choice,6897,no_person,Chrome,NA,23,F,5,5,5,5,5,3,4,5,6,5,6,4,6,5,5,6,6,21,17,20,23,81,6,6,5,6,4,6,6,4,6,6,33,22,4,2,4,4,2,4,2,4,26,NA,NA,0,NA,NA,5
NA,choice,2963,no_person,Mozilla,NA,26,F,5,6,6,7,7,6,7,4,5,7,6,6,6,5,7,5,5,25,25,26,19,95,3,5,2,3,3,4,2,2,1,2,20,7,5,4,3,3,4,5,4,4,32,NA,NA,0,NA,NA,4.3
NA,choice,3568,person,Firefox,NA,31,M,2,3,2,5,6,6,5,5,5,2,3,5,5,5,6,4,6,10,22,21,20,73,5,6,7,5,6,5,6,2,5,7,34,20,2,2,5,3,2,2,3,4,23,NA,NA,1,NA,NA,4.45
NA,choice,3087,no_person,Chrome,NA,30,M,5,2,2,5,6,5,2,1,3,4,3,6,5,5,5,3,4,11,17,22,11,61,6,5,5,6,5,6,6,4,3,4,33,17,2,2,2,2,1,2,2,2,15,NA,NA,1,NA,NA,3.55
NA,choice,6845,person,Chrome,NA,30,F,6,5,5,5,5,5,6,4,7,5,5,6,5,6,5,5,6,20,22,21,22,85,5,5,5,5,5,5,3,3,3,3,30,12,4,4,4,3,4,3,4,4,30,NA,NA,1,NA,NA,5.05
NA,choice,5552,person,Mozilla,NA,48,F,5,6,6,7,7,7,7,6,7,3,6,7,6,5,6,6,7,21,25,27,26,99,6,6,4,5,4,5,1,2,1,2,30,6,5,4,4,4,3,2,3,4,29,NA,NA,1,NA,NA,5.8
NA,choice,8266,person,Firefox,NA,54,M,5,4,4,6,5,5,5,5,5,4,2,5,4,5,5,5,6,14,20,20,21,75,4,4,4,4,4,4,5,4,5,6,24,20,3,3,3,3,3,3,3,3,24,NA,NA,1,NA,NA,5.6
NA,choice,4307,no_person,Safari,NA,18,M,5,5,4,5,6,6,5,7,6,5,4,5,6,5,6,6,6,18,22,22,25,87,5,6,6,6,6,4,4,6,4,7,33,21,4,4,4,3,3,4,2,4,28,NA,NA,0,NA,NA,6.55
NA,choice,6376,person,Mozilla,NA,26,F,5,6,2,6,6,7,6,6,4,4,4,6,4,6,6,6,6,16,25,22,22,85,4,2,2,5,4,4,7,5,6,5,21,23,3,4,3,3,2,2,3,3,23,NA,NA,1,NA,NA,6.05
NA,choice,4163,person,Chrome,NA,25,F,6,7,5,7,7,6,5,3,5,6,6,6,5,6,6,6,6,24,23,25,20,92,7,7,7,7,7,7,5,2,3,2,42,12,5,4,4,4,4,5,4,5,35,NA,NA,1,NA,NA,6.7
NA,choice,1447,no_person,Chrome,NA,22,F,5,5,6,5,3,3,5,3,3,4,3,4,5,5,7,4,5,18,20,17,15,70,5,2,3,5,6,6,4,6,4,4,27,18,5,3,3,5,1,3,3,4,27,NA,NA,1,NA,NA,5.65
NA,choice,4538,person,Chrome,NA,25,M,6,7,6,7,6,6,7,4,5,5,5,7,6,5,6,6,6,23,24,26,21,94,6,6,6,7,6,6,2,2,2,2,37,8,4,4,4,4,5,4,5,4,34,NA,NA,1,NA,NA,5.15
NA,choice,5659,person,Chrome,NA,21,NA,5,4,1,6,7,6,6,1,4,4,1,5,4,6,6,2,6,10,24,22,13,69,7,7,7,7,7,7,7,4,7,7,42,25,1,1,1,1,1,1,1,1,8,NA,NA,1,NA,NA,6.1
NA,choice,5606,no_person,Safari,NA,31,F,5,5,5,6,6,5,6,5,5,5,4,6,5,5,6,5,6,19,22,23,21,85,6,5,5,5,6,6,2,1,1,4,33,8,3,4,4,4,4,3,3,4,29,NA,NA,1,NA,NA,6.05
NA,choice,4197,person,Chrome,NA,38,F,5,5,4,6,5,5,5,4,5,5,4,5,4,4,5,5,5,18,19,20,19,76,5,5,5,5,5,5,3,3,3,3,30,12,4,4,3,2,3,3,4,4,27,NA,NA,0,NA,NA,6.75
NA,choice,6664,person,Firefox,NA,60,M,5,5,5,6,6,6,6,5,6,5,6,6,6,6,6,6,6,21,24,24,23,92,6,6,6,6,6,6,3,2,3,3,36,11,4,4,4,4,4,4,4,4,32,NA,NA,1,NA,NA,6.2
NA,choice,6263,person,Mozilla,NA,25,F,4,5,4,6,7,6,6,6,6,6,4,7,6,6,7,6,7,19,25,26,25,95,6,6,7,7,6,6,5,2,4,5,38,16,2,1,4,3,1,4,3,3,21,NA,NA,1,NA,NA,6.1
NA,choice,4556,no_person,Firefox,NA,24,F,5,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,24,22,23,24,93,6,5,6,5,4,5,3,2,5,4,31,14,4,4,3,3,4,3,4,4,29,NA,NA,0,NA,NA,7
NA,choice,4574,person,Explorer,NA,24,M,5,4,5,6,5,5,6,4,5,5,6,5,5,5,5,5,5,20,21,21,19,81,4,6,5,4,5,5,7,3,7,3,29,20,2,1,4,2,2,1,2,2,16,NA,NA,0,NA,NA,3.35
NA,choice,4539,person,Chrome,NA,36,M,5,6,6,7,7,7,7,5,6,6,7,7,6,6,7,7,7,25,27,27,25,104,6,5,5,5,3,5,1,1,1,1,29,4,5,5,5,4,5,4,5,4,37,NA,NA,1,NA,NA,5.85
NA,choice,6346,person,Chrome,NA,51,M,5,4,2,5,5,4,4,4,5,2,2,6,5,3,4,3,5,10,15,21,17,63,5,5,5,5,5,5,5,3,4,3,30,15,2,2,3,3,2,3,2,2,19,NA,NA,1,NA,NA,4.15
NA,choice,1766,person,Firefox,NA,33,M,5,2,5,4,4,5,4,3,4,4,5,5,4,5,5,4,4,16,19,17,15,67,2,4,5,5,4,6,7,3,3,5,26,18,4,2,4,3,2,4,3,3,25,NA,NA,0,NA,NA,4.6
NA,choice,5267,no_person,Firefox,NA,57,F,5,2,1,5,2,1,2,1,3,1,2,2,1,2,2,1,3,6,7,10,8,31,5,5,6,5,6,5,5,3,5,5,32,18,2,1,4,3,1,1,1,1,14,NA,NA,0,NA,NA,6.55
NA,choice,5076,person,Firefox,NA,33,F,5,6,5,6,6,6,6,4,5,5,5,6,6,6,6,4,6,21,24,24,19,88,5,6,6,6,5,6,3,2,2,3,34,10,3,2,3,3,2,2,2,3,20,NA,NA,1,NA,NA,5.2
NA,choice,4157,person,Chrome,NA,29,M,5,1,2,5,5,4,4,4,5,5,4,5,5,5,6,5,6,12,19,20,20,71,6,6,2,5,5,4,4,4,4,2,28,14,3,2,2,2,2,2,2,3,18,NA,NA,1,NA,NA,4.55
NA,choice,4700,person,Firefox,NA,30,M,5,6,2,7,6,6,6,4,5,4,4,6,3,4,6,5,6,16,22,22,20,80,6,6,6,6,6,5,5,2,5,4,35,16,3,2,3,4,3,5,3,3,26,NA,NA,1,NA,NA,6.95
NA,choice,3472,person,Firefox,NA,32,M,5,5,5,6,6,6,6,5,6,6,5,6,6,6,6,6,6,21,24,24,23,92,6,6,6,3,5,5,3,2,5,5,31,15,2,2,4,3,3,3,2,2,21,NA,NA,1,NA,NA,5
NA,choice,4920,person,Chrome,NA,31,M,5,3,2,5,5,4,4,3,3,3,2,5,4,3,6,4,5,10,17,19,15,61,4,5,5,4,5,5,6,5,5,6,28,22,2,2,3,3,1,1,1,2,15,NA,NA,1,NA,NA,6.15
NA,choice,4453,person,Chrome,NA,22,F,5,6,6,7,7,6,7,4,4,7,5,7,7,6,6,5,5,24,25,28,18,95,5,6,5,5,5,5,4,2,2,5,31,13,3,4,4,3,2,3,3,3,25,NA,NA,0,NA,NA,5.1
NA,choice,4306,person,Mozilla,NA,29,F,5,5,3,5,4,6,7,5,5,2,2,3,4,6,6,4,6,12,25,16,20,73,7,6,6,6,6,6,5,2,6,6,37,19,2,2,3,4,2,3,2,4,22,NA,NA,0,NA,NA,6.15
NA,choice,5961,person,Mozilla,NA,39,M,7,2,2,4,5,2,2,4,4,2,2,3,2,3,4,4,5,8,11,14,17,50,4,4,4,3,4,3,6,2,6,4,22,18,1,1,3,2,1,2,3,3,16,NA,NA,1,NA,NA,4.3
NA,choice,4460,no_person,Chrome,NA,38,NA,11,3,2,7,7,4,4,4,4,4,3,7,4,4,4,5,7,12,16,25,20,73,7,7,4,6,6,6,6,4,4,4,36,18,5,3,4,5,3,5,2,5,32,NA,NA,0,NA,NA,2.2
NA,choice,6397,no_person,Mozilla,NA,37,F,4,2,5,7,6,6,6,2,3,5,2,6,5,2,6,3,6,14,20,24,14,72,6,6,6,6,6,6,7,2,7,1,36,17,1,1,2,1,1,2,1,1,10,NA,NA,1,NA,NA,5.3
NA,choice,5951,person,Chrome,NA,62,M,5,5,4,6,5,6,6,5,4,4,5,6,3,5,5,4,6,18,22,20,19,79,6,4,2,5,5,5,3,2,3,3,27,11,1,2,2,2,1,1,2,1,12,NA,NA,1,NA,NA,4.95
NA,choice,4651,person,Firefox,NA,40,M,5,6,2,6,6,6,7,5,6,2,3,4,3,5,6,3,6,13,24,19,20,76,6,5,5,4,5,3,5,1,6,5,28,17,5,5,4,5,5,5,5,5,39,NA,NA,1,NA,NA,4.35
