¥éËV1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Q1,Q2,Q3,Q4,Q5,Main_1,Main_2,Main_3,Main_4,Main_5,Main_6,Main_7,Main_8,Main_9,Main_10,Main_11,Main_12,Main_13,Main_14,Main_15,Main_16,Main_17,Main_18,Main_19,Main_20,Main_21,Main_22,Main_23,Main_24,Main_25,Main_26,Main_27,Main_28,Main_29,Main_30,Main_31,Main_32,Main_33,Main_34,Main_35,Main_36,Main_37,Main_38,Main_39,Main_40,Main_41,Main_42,Main_43,Main_44,Main_45,Main_46,Main_47,Main_48,Main_49,Main_50,Main_51,Main_52,Main_53,Main_54,Main_55,Main_56,Main_57,Main_58,Main_59,Main_60,Main_61,Main_62,Main_63,Main_64,Main_65,Main_66,Main_67,Main_68,Main_69,Main_70,Main_71,Main_72,Main_73,Main_74,Main_75,Main_76,Main_77,Main_78,Main_79,Main_80,Main_81,Main_82,Main_83,Main_84,Main_85,Main_86,Main_87,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:25,3/15/13 10:34,1,1,NA,29,1,5,1,4,3,3,4,7,5,4,5,5,2,3,5,5,6,7,4,5,3,3,4,3,5,3,2,5,3,2,3,5,5,4,3,6,3,5,6,5,2,6,5,5,3,5,3,3,3,3,2,3,3,5,3,3,2,3,3,3,5,1,6,3,6,6,6,6,6,5,2,1,2,3,1,3,3,6,2,3,6,3,2,2,5,5,1,6,2,2,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:24,3/15/13 10:35,1,1,NA,44,2,6,1,6,6,6,6,6,6,5,6,6,6,6,6,6,2,6,5,2,2,2,2,2,3,6,6,6,6,2,2,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,2,2,2,6,6,1,2,2,2,2,6,6,2,6,6,2,6,2,6,6,6,6,5,6,5,6,2,2,2,2,2,6,2,6,6,6,6,2,1,6,6,6,6,4,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:30,3/15/13 10:35,1,1,NA,37,1,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,4,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:24,3/15/13 10:37,1,1,NA,43,2,5,1,5,6,6,5,6,7,5,7,6,7,6,6,7,3,7,5,4,1,2,2,2,3,7,7,7,6,1,3,6,7,6,7,6,7,7,7,6,7,5,7,7,5,7,3,2,2,7,7,1,2,2,3,2,6,6,2,6,7,5,7,3,7,6,7,7,6,6,1,7,3,2,2,2,2,5,2,6,6,5,5,3,5,7,5,7,6,5,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:23,3/15/13 10:37,1,1,NA,42,1,6,1,3,3,2,4,2,2,2,3,3,3,5,3,3,6,3,3,5,5,5,5,5,5,3,3,2,2,6,5,2,2,3,3,3,5,3,3,2,4,3,2,3,3,3,4,5,5,2,3,6,5,5,5,5,3,4,5,3,2,4,3,4,4,3,3,3,4,3,5,2,4,5,5,5,6,4,5,3,4,2,3,5,5,3,2,3,2,2,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:30,3/15/13 10:38,1,1,NA,22,1,5,1,3,1,3,2,6,1,4,3,4,5,5,5,5,7,7,5,7,2,7,2,6,7,5,5,2,2,7,6,1,3,2,1,5,6,5,5,1,5,3,5,5,1,5,2,6,6,2,5,7,7,4,6,3,1,5,5,2,2,4,7,5,5,7,6,1,6,3,2,1,2,5,2,7,7,7,6,2,6,2,4,6,2,4,1,2,3,7,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:27,3/15/13 10:38,1,1,NA,64,1,5,1,5,5,6,4,5,5,5,5,5,5,5,6,6,2,6,3,4,4,2,5,4,5,5,6,5,5,3,3,5,5,5,6,6,5,6,4,6,5,5,5,5,5,5,2,3,5,5,6,4,2,3,5,2,5,6,3,5,5,5,5,4,5,5,5,5,5,5,5,4,2,3,4,5,2,5,3,5,5,5,5,2,2,5,5,5,4,5,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:26,3/15/13 10:39,1,1,NA,28,1,5,1,5,4,3,2,6,5,5,4,4,2,5,2,2,4,5,4,6,6,5,4,5,5,4,4,4,3,6,7,4,3,2,3,5,5,4,5,4,2,4,5,5,4,6,6,5,5,1,3,5,6,5,3,5,4,5,4,4,4,3,5,3,5,6,6,5,5,4,5,6,6,4,5,6,5,6,5,3,5,2,2,6,4,3,4,6,2,7,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:33,3/15/13 10:39,1,1,NA,24,1,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,1,1,1,1,2,7,7,7,7,1,1,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,1,1,1,7,7,1,1,1,1,1,7,7,1,7,7,7,7,1,7,7,7,7,7,7,1,7,1,1,1,1,1,7,1,7,7,6,7,1,1,6,7,7,7,6,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:31,3/15/13 10:41,1,1,NA,32,2,5,1,4,4,5,3,3,3,3,4,4,5,5,5,5,3,5,4,6,6,6,5,5,6,4,4,4,4,5,6,3,5,3,4,3,5,3,5,4,5,3,5,5,3,5,5,5,5,4,4,4,5,3,5,5,4,5,5,4,3,5,5,3,4,5,5,4,5,5,5,3,6,4,5,3,5,5,2,3,5,3,5,5,4,5,4,4,3,3,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:28,3/15/13 10:41,1,1,NA,28,2,5,1,6,4,4,1,5,6,4,3,4,5,5,5,7,3,6,4,4,4,3,2,4,4,5,5,5,4,4,4,6,5,5,4,7,7,7,5,4,5,7,7,6,4,7,4,3,3,2,4,4,4,4,4,4,4,5,3,6,5,2,7,3,7,7,7,7,7,5,3,3,5,1,3,5,2,5,3,4,7,2,2,3,4,3,2,6,4,3,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:27,3/15/13 10:41,1,1,NA,26,1,4,1,3,5,4,3,4,5,5,6,3,3,5,4,5,4,6,5,5,3,4,5,5,3,6,6,4,3,5,6,4,4,4,3,4,4,7,4,4,3,4,4,3,3,4,4,5,4,4,4,5,5,6,5,5,3,3,4,5,4,4,4,3,4,4,4,4,6,6,4,4,4,4,5,5,4,5,5,4,5,3,5,5,5,4,2,4,3,2,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:32,3/15/13 10:41,1,1,NA,41,2,4,1,3,3,3,3,5,4,3,3,4,3,3,3,5,3,5,3,5,4,5,4,5,5,3,3,3,3,3,5,3,4,3,3,4,4,3,5,3,3,3,4,3,3,5,3,5,5,3,3,4,5,4,4,4,3,4,3,3,5,4,3,4,5,4,5,5,5,3,4,5,4,3,4,3,5,5,4,4,4,3,3,3,5,5,3,5,3,4,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:31,3/15/13 10:41,1,1,NA,22,2,6,1,5,5,5,2,6,4,5,6,5,3,3,4,6,3,7,6,4,2,3,4,3,4,5,3,4,6,3,5,4,3,4,5,4,5,6,4,6,5,5,5,6,3,5,5,3,4,5,5,3,3,3,2,3,4,6,3,5,3,4,3,2,6,5,6,5,4,6,3,2,3,3,3,3,3,5,4,5,5,3,3,3,3,5,3,6,4,5,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:32,3/15/13 10:42,1,1,NA,34,1,5,1,6,5,5,5,6,5,5,4,5,5,6,5,5,3,5,5,3,3,3,3,2,3,4,5,4,5,3,3,5,5,5,5,6,4,3,5,5,6,6,6,5,5,5,3,2,2,6,6,3,2,2,3,2,5,5,2,5,5,3,5,4,6,5,6,6,5,5,3,4,2,2,3,4,3,4,4,5,5,5,5,3,3,6,5,5,5,3,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:28,3/15/13 10:42,1,1,NA,34,1,5,1,5,5,5,5,6,5,6,5,5,3,6,5,2,5,6,5,5,3,5,2,5,2,5,5,5,5,2,2,5,5,3,5,5,5,5,6,5,3,6,5,6,5,6,2,5,2,3,3,3,5,5,3,6,5,3,5,5,5,5,3,3,6,5,5,5,5,5,2,2,2,2,2,3,2,5,5,5,5,3,3,5,3,5,5,5,2,5,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:23,3/15/13 10:42,1,1,NA,22,1,2,1,2,1,1,1,1,3,4,2,5,1,4,1,1,7,6,6,7,7,7,5,1,7,1,1,1,1,7,6,1,2,1,1,1,1,1,1,1,1,1,1,5,1,1,4,7,7,1,1,7,7,7,7,7,1,1,5,1,1,4,1,4,1,1,5,4,1,1,7,1,1,7,5,7,7,1,7,1,1,1,1,7,7,1,1,1,1,1,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:29,3/15/13 10:43,1,1,NA,54,1,5,1,5,3,2,2,4,5,4,3,3,2,3,3,3,5,4,4,6,5,5,6,5,6,3,2,2,2,6,5,3,2,2,2,3,5,3,3,3,3,3,3,2,3,3,5,6,6,2,2,6,6,6,5,6,2,5,6,3,2,4,3,5,3,3,4,3,4,2,5,2,4,6,5,5,6,2,6,2,3,2,2,6,7,2,1,2,2,2,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:26,3/15/13 10:43,1,1,NA,27,2,5,1,4,4,6,2,6,4,5,6,5,6,4,6,6,4,6,5,6,2,4,2,6,7,5,7,5,5,2,5,4,6,5,4,4,6,6,5,5,7,5,6,7,6,7,2,4,4,4,7,2,3,1,2,2,5,7,2,4,6,5,6,3,6,6,7,6,7,4,2,7,5,3,3,2,2,7,1,4,7,5,5,1,1,5,5,6,2,5,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:40,3/15/13 10:43,1,1,NA,27,1,5,1,4,3,5,5,5,3,3,4,5,5,4,3,5,3,4,3,5,4,5,3,3,5,4,3,3,3,4,5,4,3,4,5,4,3,3,3,5,3,5,3,3,5,5,4,5,3,5,4,3,4,4,5,4,4,5,4,4,3,3,3,4,4,4,5,4,4,4,4,5,5,4,3,5,4,5,3,4,4,5,3,5,5,3,3,5,4,3,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:27,3/15/13 10:43,1,1,NA,31,1,8,1,4,4,3,4,4,4,5,5,4,5,4,5,4,5,5,5,4,2,6,4,5,7,5,3,3,2,4,7,2,2,1,3,3,4,4,4,4,5,4,2,5,2,4,5,7,6,2,6,7,6,2,4,6,2,5,6,4,1,4,6,5,4,2,4,5,5,5,4,2,4,6,6,4,7,5,5,2,4,2,4,2,6,4,3,4,2,2,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:23,3/15/13 10:44,1,1,NA,33,2,6,1,6,7,7,6,6,7,5,7,7,6,7,7,1,1,7,6,2,1,1,1,1,1,6,6,2,7,1,1,5,6,3,6,5,5,6,7,6,7,3,6,6,7,7,3,6,2,7,7,1,1,6,1,2,6,5,6,6,5,6,7,1,2,7,7,7,7,6,1,6,2,1,1,4,1,6,1,6,7,6,6,2,7,6,7,7,7,7,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:34,3/15/13 10:45,1,1,NA,30,1,2,1,2,2,1,2,1,3,2,3,4,1,1,2,2,7,4,3,7,3,6,5,7,7,1,3,1,1,7,7,1,1,2,1,1,5,1,1,2,2,2,1,1,1,1,5,7,5,1,1,7,7,7,6,7,1,2,5,1,1,5,2,7,2,3,5,3,4,1,6,1,3,6,5,7,7,4,7,1,3,1,3,5,7,3,1,2,1,1,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:23,3/15/13 10:46,1,1,NA,40,2,4,1,5,4,5,2,4,5,4,5,4,5,5,5,5,4,5,4,4,3,5,4,3,4,4,4,4,4,4,5,5,4,4,5,5,6,5,5,4,4,4,5,5,4,5,5,5,4,5,5,3,4,3,5,3,4,5,3,5,5,5,4,4,5,5,5,5,4,5,3,4,4,3,2,5,4,5,3,4,5,5,5,4,2,4,2,4,2,3,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:37,3/15/13 10:47,1,1,NA,29,2,6,1,5,5,2,3,5,5,4,4,4,4,5,4,5,3,4,4,5,6,3,3,3,5,4,4,2,3,5,5,3,3,3,3,5,2,5,4,5,4,5,5,6,4,5,2,5,4,3,2,5,3,3,4,3,2,4,3,5,2,2,5,2,5,5,5,5,5,4,4,2,2,4,3,5,5,3,5,2,4,3,4,5,5,4,2,6,3,4,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:31,3/15/13 10:47,1,1,NA,40,1,5,1,5,5,5,4,4,6,5,5,5,4,4,4,4,5,6,6,4,4,5,5,3,5,5,5,5,3,4,5,5,4,4,4,3,5,5,4,5,4,4,4,4,4,4,4,4,5,4,3,5,5,5,4,5,5,5,4,4,2,5,5,4,5,5,6,5,5,5,4,5,2,5,6,5,4,4,5,5,4,4,4,6,5,5,5,4,5,6,
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:34,3/15/13 10:47,1,1,NA,45,1,5,1,4,4,3,4,4,4,3,3,4,4,4,5,4,4,5,2,4,3,4,6,4,5,3,5,4,4,4,5,5,4,3,3,4,5,3,5,5,6,3,5,6,4,5,3,3,4,4,5,5,4,2,3,3,3,5,3,4,3,5,4,5,4,4,5,5,4,4,3,4,3,3,3,4,4,5,3,3,5,3,4,3,3,2,5,5,3,3,
